"","Sample.Name","All_Treatment","Primary_Treatment","Second_Treament","Third_Treatment","Time"
"1","SG119","AAM","A","A","M","DAY21"
"2","SG86","MSM","M","S","M","DAY21"
"3","SG85","MAM","M","A","M","DAY21"
"4","SG132","AAM","A","A","M","DAY21"
"5","SG75","MMM","M","M","M","DAY21"
"6","SG54","MMM","M","M","M","DAY21"
"7","SG73","MAM","M","A","M","DAY21"
"8","SG47","AMM","A","M","M","DAY21"
"9","SG34","AMM","A","M","M","DAY21"
"10","SG126","MSM","M","S","M","DAY21"
"11","SG68","AAM","A","A","M","DAY21"
"12","SG112","MAA","M","A","A","DAY21"
"13","SG133","AAM","A","A","M","DAY21"
"14","SG52","MAM","M","A","M","DAY21"
"15","SG123","MMM","M","M","M","DAY21"
"16","SG115","MMM","M","M","M","DAY21"
"17","SG122","MMM","M","M","M","DAY21"
"18","SG33","AMM","A","M","M","DAY21"
"19","SG120","AMM","A","M","M","DAY21"
"20","SG111","AMM","A","M","M","DAY21"
"21","SG142","MSM","M","S","M","DAY21"
"22","SG96","ASM","A","S","M","DAY21"
"23","SG113","MAM","M","A","M","DAY21"
"24","SG30","AAM","A","A","M","DAY21"
"25","SG51","MAM","M","A","M","DAY21"
"26","SG83","AAM","A","A","M","DAY21"
"27","SG125","MSM","M","S","M","DAY21"
"28","SG35","ASM","A","S","M","DAY21"
"29","SG84","ASM","A","S","M","DAY21"
"30","SG49","ASM","A","S","M","DAY21"
"31","SG116","MSM","M","S","M","DAY21"
"32","SG136","MSM","M","S","M","DAY21"
"33","SG70","AMA","A","M","A","DAY21"
"34","SG31","AMA","A","M","A","DAY21"
"35","SG121","MMA","M","M","A","DAY21"
"36","SG74","MMA","M","M","A","DAY21"
"37","SG134","ASA","A","S","A","DAY21"
"38","SG56","MSA","M","S","A","DAY21"
"39","SG76","MSA","M","S","A","DAY21"
"40","SG55","MSA","M","S","A","DAY21"
"41","SG48","ASA","A","S","A","DAY21"
"42","SG53","MMA","M","M","A","DAY21"
"43","SG106","MMA","M","M","A","DAY21"
"44","SG104","AMA","A","M","A","DAY21"
"45","SG32","AMA","A","M","A","DAY21"
"46","SG124","MSA","M","S","A","DAY21"
"47","SG29","AAA","A","A","A","DAY21"
"48","SG110","AAA","A","A","A","DAY21"
"49","SG105","MAA","M","A","A","DAY21"
"50","SG72","MAA","M","A","A","DAY21"
"51","SG94","AAA","A","A","A","DAY21"
"52","SG95","AMA","A","M","A","DAY21"
"53","SG135","MMA","M","M","A","DAY21"
"54","SG71","ASA","A","S","A","DAY21"
"55","SG114","MMA","M","M","A","DAY21"
"56","SG69","AMA","A","M","A","DAY21"
"57","SG141","MSA","M","S","A","DAY21"
"58","SG36","MAA","M","A","A","DAY21"
"59","SG67","AAA","A","A","A","DAY21"
"60","SG28","AAA","A","A","A","DAY21"
"61","SG50","MAA","M","A","A","DAY21"
"62","SG103","AAA","A","A","A","DAY21"
