"","Day","Treatment","Pairwise.compare","DEGs_total","DEGs_UP","DEGs_DOWN"
"1","7","full_interaction","AA_AM",0,0,1
"2","7","full_interaction","AA_AS",10,0,10
"3","7","full_interaction","AA_MA",10,2,8
"4","7","full_interaction","AA_MM",20,4,16
"5","7","full_interaction","AA_MS",6,1,5
"7","7","full_interaction","AM_AS",0,0,1
"8","7","full_interaction","AM_MA",168,137,31
"9","7","full_interaction","AM_MM",5,0,5
"10","7","full_interaction","AM_MS",60,52,8
"12","7","full_interaction","AS_AM",0,1,0
"13","7","full_interaction","AS_MA",30,21,9
"14","7","full_interaction","AS_MM",31,23,8
"15","7","full_interaction","AS_MS",15,9,6
"19","7","full_interaction","MA_MM",36,4,32
"20","7","full_interaction","MA_MS",1,0,1
"30","7","full_interaction","MS_MM",3,2,1
"111","14","full_interaction","AA_AM",0,1,0
"210","14","full_interaction","AA_AS",1,1,0
"310","14","full_interaction","AA_MA",5,3,2
"410","14","full_interaction","AA_MM",10,6,4
"510","14","full_interaction","AA_MS",41,10,31
"71","14","full_interaction","AM_AS",0,1,0
"81","14","full_interaction","AM_MA",12,7,5
"91","14","full_interaction","AM_MM",10,9,1
"101","14","full_interaction","AM_MS",0,0,1
"122","14","full_interaction","AS_AM",0,0,1
"133","14","full_interaction","AS_MA",8,7,1
"141","14","full_interaction","AS_MM",2,2,0
"151","14","full_interaction","AS_MS",2,1,1
"191","14","full_interaction","MA_MM",0,0,1
"201","14","full_interaction","MA_MS",0,0,1
"301","14","full_interaction","MS_MM",0,0,1
"112","21","full_interaction","AAA_AAM",0,0,1
"211","21","full_interaction","AAA_AMA",0,1,0
"311","21","full_interaction","AAA_AMM",13,13,0
"411","21","full_interaction","AAA_ASA",1,1,0
"511","21","full_interaction","AAA_ASM",0,0,1
"6","21","full_interaction","AAA_MAA",68,31,37
"72","21","full_interaction","AAA_MAM",15,9,6
"82","21","full_interaction","AAA_MMA",0,1,0
"92","21","full_interaction","AAA_MMM",0,0,1
"102","21","full_interaction","AAA_MSA",2,0,2
"11","21","full_interaction","AAA_MSM",0,0,1
"123","21","full_interaction","AAM_AAA",0,1,0
"134","21","full_interaction","AAM_AMA",0,1,0
"142","21","full_interaction","AAM_AMM",12,12,0
"152","21","full_interaction","AAM_ASA",3,3,0
"16","21","full_interaction","AAM_ASM",0,1,0
"17","21","full_interaction","AAM_MAA",110,37,73
"18","21","full_interaction","AAM_MAM",9,4,5
"192","21","full_interaction","AAM_MMA",0,1,0
"202","21","full_interaction","AAM_MMM",0,1,0
"21","21","full_interaction","AAM_MSA",0,0,1
"22","21","full_interaction","AAM_MSM",1,1,0
"23","21","full_interaction","AMA_AAA",0,0,1
"24","21","full_interaction","AMA_AAM",0,0,1
"25","21","full_interaction","AMA_AMM",0,1,0
"26","21","full_interaction","AMA_ASA",2,1,1
"27","21","full_interaction","AMA_ASM",0,0,1
"28","21","full_interaction","AMA_MAA",15,5,10
"29","21","full_interaction","AMA_MAM",13,5,8
"302","21","full_interaction","AMA_MMA",0,1,0
"31","21","full_interaction","AMA_MMM",18,6,12
"32","21","full_interaction","AMA_MSA",21,1,20
"33","21","full_interaction","AMA_MSM",1,1,0
"34","21","full_interaction","AMM_AAA",13,0,13
"35","21","full_interaction","AMM_AAM",12,0,12
