hgnc_id,hgnc_symbol,con,go_con,gene_con,rel_go,frac_rel_go
4570,GRHPR,14,11,3,0,0.0
550,AOC3,22,19,3,0,0.0
7867,NOP2,12,10,2,0,0.0
30021,HELZ2,9,8,1,0,0.0
1096,BPNT1,2,1,1,0,0.0
18985,DCXR,11,10,1,0,0.0
4555,GPX3,9,8,1,0,0.0
2741,DDX18,7,6,1,0,0.0
11546,TAF13,8,7,1,0,0.0
3555,FABP1,10,9,1,0,0.0
7020,MEP1B,6,5,1,0,0.0
7015,MEP1A,5,4,1,0,0.0
30264,PDPR,5,4,1,0,0.0
21063,MOXD1,10,9,1,0,0.0
17303,TAF3,9,8,1,0,0.0
3773,FMO5,8,7,1,0,0.0
9673,PTPRJ,33,32,1,0,0.0
31416,C1QL4,1,1,0,0,0.0
9989,RGN,4,4,0,0,0.0
14537,NPC2,15,15,0,0,0.0
17572,EPDR1,7,7,0,0,0.0
3791,FOLR1,16,16,0,0,0.0
6371,KLKB1,5,5,0,0,0.0
23109,FAT4,3,3,0,0,0.0
30125,MZB1,4,4,0,0,0.0
6695,LRP3,4,4,0,0,0.0
1936,CHIT1,6,6,0,0,0.0
17432,CHIA,9,9,0,0,0.0
11594,TBX15,6,6,0,0,0.0
7605,MYO6,30,30,0,0,0.0
3624,FCN2,16,16,0,0,0.0
9671,PTPRG,6,6,0,0,0.0
21685,CD109,6,6,0,0,0.0
16953,POSTN,10,10,0,0,0.0
23336,A2ML1,6,6,0,0,0.0
2707,ACE,25,25,0,0,0.0
7142,MLP,7,7,0,0,0.0
7325,COCA1,41,41,0,0,0.0
6907,MATN1,2,2,0,0,0.0
8651,PCBP3,8,8,0,0,0.0
14673,FYCO1,9,9,0,0,0.0
329,AGRIN,8,8,0,0,0.0
4193,GCH1,25,25,0,0,0.0
8504,OSBP2,9,9,0,0,0.0
15667,MTPN,6,6,0,0,0.0
9255,PPIB,23,23,0,0,0.0
7508,MUC1,18,18,0,0,0.0
16781,NPL,2,2,0,0,0.0
8743,NEC1,6,6,0,0,0.0
19194,HMCN1,7,7,0,0,0.0
2079,CLN8,9,9,0,0,0.0
17801,ZFP28,4,4,0,0,0.0
20889,LRIG2,3,3,0,0,0.0
7228,MRC1,6,6,0,0,0.0
34403,HYKK,2,2,0,0,0.0
24271,CUTC,9,9,0,0,0.0
4115,GALC,3,3,0,0,0.0
4868,HERC2,11,11,0,0,0.0
17856,HACL1,14,14,0,0,0.0
2313,ACBP,4,4,0,0,0.0
671,RND3,17,17,0,0,0.0
612,APOD,19,19,0,0,0.0
14290,NLGN2,13,13,0,0,0.0
2464,CSPG2,9,9,0,0,0.0
30387,VMO1,2,2,0,0,0.0
9772,RAB32,25,25,0,0,0.0
26145,LDAH,2,2,0,0,0.0
4173,GATA4,27,27,0,0,0.0
20436,ZAR1,4,4,0,0,0.0
29271,ZNFX1,3,3,0,0,0.0
26373,PRTG,1,1,0,0,0.0
21293,HMCN2,3,3,0,0,0.0
9491,PRSS8,6,6,0,0,0.0
