biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SAMN19839120	SG103_juvenile_AmbAmbAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbAmbAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG103_S164_L001_R1_001.fastq.gz	SG103_S164_L002_R1_001.fastq.gz				
SAMN19839119	SG50_juvenile_ModAmbAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModAmbAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG50_S57_L001_R1_001.fastq.gz	SG50_S57_L002_R1_001.fastq.gz				
SAMN19839118	SG28_juvenile_AmbAmbAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbAmbAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG28_S71_L001_R1_001.fastq.gz	SG28_S71_L002_R1_001.fastq.gz				
SAMN19839117	SG67_juvenile_AmbAmbAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbAmbAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG67_S98_L001_R1_001.fastq.gz	SG67_S98_L002_R1_001.fastq.gz				
SAMN19839116	SG36_juvenile_ModAmbAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModAmbAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG36_S134_L001_R1_001.fastq.gz	SG36_S134_L002_R1_001.fastq.gz				
SAMN19839115	SG141_juvenile_ModSevAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModSevAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG141_S175_L001_R1_001.fastq.gz	SG141_S175_L002_R1_001.fastq.gz				
SAMN19839114	SG69_juvenile_AmbModAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbModAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG69_S113_L001_R1_001.fastq.gz	SG69_S113_L002_R1_001.fastq.gz				
SAMN19839113	SG114_juvenile_ModModAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModModAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG114_S161_L001_R1_001.fastq.gz	SG114_S161_L002_R1_001.fastq.gz				
SAMN19839112	SG71_juvenile_AmbSevAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbSevAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG71_S129_L001_R1_001.fastq.gz	SG71_S129_L002_R1_001.fastq.gz				
SAMN19839111	SG135_juvenile_ModModAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModModAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG135_S151_L001_R1_001.fastq.gz	SG135_S151_L002_R1_001.fastq.gz				
SAMN19839110	SG95_juvenile_AmbModAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbModAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG95_S131_L001_R1_001.fastq.gz	SG95_S131_L002_R1_001.fastq.gz				
SAMN19839109	SG94_juvenile_AmbAmbAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbAmbAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG94_S123_L001_R1_001.fastq.gz	SG94_S123_L002_R1_001.fastq.gz				
SAMN19839108	SG72_juvenile_ModAmbAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModAmbAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG72_S137_L001_R1_001.fastq.gz	SG72_S137_L002_R1_001.fastq.gz				
SAMN19839107	SG105_juvenile_ModAmbAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModAmbAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG105_S172_L001_R1_001.fastq.gz	SG105_S172_L002_R1_001.fastq.gz				
SAMN19839106	SG110_juvenile_AmbAmbAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbAmbAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG110_S145_L001_R1_001.fastq.gz	SG110_S145_L002_R1_001.fastq.gz				
SAMN19839105	SG29_juvenile_AmbAmbAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbAmbAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG29_S79_L001_R1_001.fastq.gz	SG29_S79_L002_R1_001.fastq.gz				
SAMN19839104	SG124_juvenile_ModSevAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModSevAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG124_S154_L001_R1_001.fastq.gz	SG124_S154_L002_R1_001.fastq.gz				
SAMN19839103	SG32_juvenile_AmbModAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbModAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG32_S103_L001_R1_001.fastq.gz	SG32_S103_L002_R1_001.fastq.gz				
SAMN19839102	SG104_juvenile_AmbModAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbModAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG104_S168_L001_R1_001.fastq.gz	SG104_S168_L002_R1_001.fastq.gz				
SAMN19839101	SG106_juvenile_ModModAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModModAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG106_S176_L001_R1_001.fastq.gz	SG106_S176_L002_R1_001.fastq.gz				
SAMN19839100	SG53_juvenile_ModModAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModModAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG53_S81_L001_R1_001.fastq.gz	SG53_S81_L002_R1_001.fastq.gz				
SAMN19839099	SG48_juvenile_AmbSevAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbSevAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG48_S135_L001_R1_001.fastq.gz	SG48_S135_L002_R1_001.fastq.gz				
SAMN19839098	SG55_juvenile_ModSevAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModSevAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG55_S97_L001_R1_001.fastq.gz	SG55_S97_L002_R1_001.fastq.gz				
SAMN19839097	SG76_juvenile_ModSevAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModSevAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG76_S75_L001_R1_001.fastq.gz	SG76_S75_L002_R1_001.fastq.gz				
