"","GO_terms","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","dir","Day","slim_term","Gene_IDs"
"1","GO:0000272",0.00416607267022412,0.999880093121986,2,24,"polysaccharide catabolic process","BP","Up","Day21","carbohydrate metabolic process","PGEN_.00g057130;PGEN_.00g169480"
"2","GO:0000272",0.00416607267022412,0.999880093121986,2,24,"polysaccharide catabolic process","BP","Up","Day21","catabolic process","PGEN_.00g057130;PGEN_.00g169480"
"3","GO:0002542",4.96764269403334e-05,0.999999933350325,2,3,"Factor XII activation","BP","Up","Day21","protein maturation","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190"
"4","GO:0002542",4.96764269403334e-05,0.999999933350325,2,3,"Factor XII activation","BP","Up","Day21","response to stress","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g199810;PGEN_.00g205860;PGEN_.00g276360;PGEN_.00g279590"
"5","GO:0006032",0.00478303106836095,0.999851822873783,2,25,"chitin catabolic process","BP","Up","Day21","catabolic process","PGEN_.00g057130;PGEN_.00g169480"
"6","GO:0006703",0.000580363655418453,0.999994588790187,2,9,"estrogen biosynthetic process","BP","Up","Day21","biosynthetic process","PGEN_.00g002290;PGEN_.00g282850"
"7","GO:0006703",0.000580363655418453,0.999994588790187,2,9,"estrogen biosynthetic process","BP","Up","Day21","lipid metabolic process","PGEN_.00g002290;PGEN_.00g282850"
"8","GO:0006955",0.0374161023340887,0.996440792245255,2,82,"immune response","BP","Up","Day21","immune system process","PGEN_.00g096560;PGEN_.00g169480;PGEN_.00g205860;PGEN_.00g276360;PGEN_.00g348850"
"9","GO:0007597",0.000158940804033294,0.999999372003749,2,5,"blood coagulation, intrinsic pathway","BP","Up","Day21","response to stress","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g199810;PGEN_.00g205860;PGEN_.00g276360;PGEN_.00g279590"
"10","GO:0010642",0.00065757940601221,0.999993209023912,2,11,"negative regulation of platelet-derived growth factor receptor signaling pathway","BP","Up","Day21","signal transduction","PGEN_.00g279590;PGEN_.00g348850"
"11","GO:0010765",0.00284066741455597,0.999933442762192,2,21,"positive regulation of sodium ion transport","BP","Up","Day21","transport","PGEN_.00g169480;PGEN_.00g348220;PGEN_.00g348570;PGEN_.00g348850"
"12","GO:0022617",0.00121625757880267,0.999982405128843,2,13,"extracellular matrix disassembly","BP","Up","Day21","extracellular matrix organization","PGEN_.00g033640;PGEN_.00g057190"
"13","GO:0031638",0.00575243521761315,0.999803106587805,2,27,"zymogen activation","BP","Up","Day21","protein maturation","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190"
"14","GO:0031639",5.98836139018745e-06,0.999999963188371,3,9,"plasminogen activation","BP","Up","Day21","protein maturation","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190"
"15","GO:0042730",0.000135308289580866,0.999997114454839,3,24,"fibrinolysis","BP","Up","Day21","response to stress","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g199810;PGEN_.00g205860;PGEN_.00g276360;PGEN_.00g279590"
"16","GO:0043312",0.0386493134870851,0.996261721635422,2,78,"neutrophil degranulation","BP","Up","Day21","immune system process","PGEN_.00g096560;PGEN_.00g169480;PGEN_.00g205860;PGEN_.00g276360;PGEN_.00g348850"
"17","GO:0043312",0.0386493134870851,0.996261721635422,2,78,"neutrophil degranulation","BP","Up","Day21","transport","PGEN_.00g169480;PGEN_.00g348220;PGEN_.00g348570;PGEN_.00g348850"
"18","GO:0043312",0.0386493134870851,0.996261721635422,2,78,"neutrophil degranulation","BP","Up","Day21","vesicle-mediated transport","PGEN_.00g169480;PGEN_.00g348850"
"19","GO:0045599",0.0110794690840321,0.999453879056901,2,48,"negative regulation of fat cell differentiation","BP","Up","Day21","cell differentiation","PGEN_.00g152150;PGEN_.00g156260"
"20","GO:0048678",0.00960180469457227,0.99956346699627,2,40,"response to axon injury","BP","Up","Day21","response to stress","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g199810;PGEN_.00g205860;PGEN_.00g276360;PGEN_.00g279590"
"21","GO:0050830",0.0213171004886989,0.998509038742607,2,60,"defense response to Gram-positive bacterium","BP","Up","Day21","response to stress","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g199810;PGEN_.00g205860;PGEN_.00g276360;PGEN_.00g279590"
"22","GO:0051919",8.51147139914224e-06,0.999999939009657,3,10,"positive regulation of fibrinolysis","BP","Up","Day21","response to stress","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g199810;PGEN_.00g205860;PGEN_.00g276360;PGEN_.00g279590"
"23","GO:0061844",0.00343971508275261,0.999910518419219,2,23,"antimicrobial humoral immune response mediated by antimicrobial peptide","BP","Up","Day21","immune system process","PGEN_.00g096560;PGEN_.00g169480;PGEN_.00g205860;PGEN_.00g276360;PGEN_.00g348850"
"24","GO:0070633",0.00132281135593976,0.999980030712194,2,13,"transepithelial transport","BP","Up","Day21","transport","PGEN_.00g169480;PGEN_.00g348220;PGEN_.00g348570;PGEN_.00g348850"
"25","GO:1902307",0.000108331779202602,0.999999696070351,2,4,"positive regulation of sodium ion transmembrane transport","BP","Up","Day21","transport","PGEN_.00g169480;PGEN_.00g348220;PGEN_.00g348570;PGEN_.00g348850"
"26","GO:1902307",0.000108331779202602,0.999999696070351,2,4,"positive regulation of sodium ion transmembrane transport","BP","Up","Day21","transmembrane transport","PGEN_.00g348220;PGEN_.00g348570"
