"","GO_terms","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","dir","Day","slim_term","Gene_IDs"
"1","GO:0001933",0.0100614391179261,0.999529329667116,2,73,"negative regulation of protein phosphorylation","BP","Down","Day21","cellular protein modification proce...","PGEN_.00g092260;PGEN_.00g092270"
"2","GO:0001942",0.00460015434981484,0.999857993521356,2,47,"hair follicle development","BP","Down","Day21","anatomical structure development","PGEN_.00g092260;PGEN_.00g092270"
"3","GO:0002576",0.00461372265023647,0.999857359164964,2,47,"platelet degranulation","BP","Down","Day21","transport","PGEN_.00g092260;PGEN_.00g092270"
"4","GO:0002576",0.00461372265023647,0.999857359164964,2,47,"platelet degranulation","BP","Down","Day21","vesicle-mediated transport","PGEN_.00g092260;PGEN_.00g092270"
"5","GO:0010839",0.00509461193144129,0.999834039956391,2,49,"negative regulation of keratinocyte proliferation","BP","Down","Day21","cell population proliferation","PGEN_.00g092260;PGEN_.00g092270"
"6","GO:0030512",0.00708039351996058,0.999724622312546,2,65,"negative regulation of transforming growth factor beta receptor signaling pathway","BP","Down","Day21","signal transduction","PGEN_.00g092260;PGEN_.00g092270"
"7","GO:0042438",0.00118868850347386,0.999982042787981,2,27,"melanin biosynthetic process","BP","Down","Day21","biosynthetic process","PGEN_.00g168590;PGEN_.00g169010"
"8","GO:0042438",0.00118868850347386,0.999982042787981,2,27,"melanin biosynthetic process","BP","Down","Day21","secondary metabolic process","PGEN_.00g168590;PGEN_.00g169010"
"9","GO:0045616",0.0020399176558856,0.999959147329031,2,31,"regulation of keratinocyte differentiation","BP","Down","Day21","anatomical structure development","PGEN_.00g092260;PGEN_.00g092270"
"10","GO:0045616",0.0020399176558856,0.999959147329031,2,31,"regulation of keratinocyte differentiation","BP","Down","Day21","cell differentiation","PGEN_.00g092260;PGEN_.00g092270"
"11","GO:0061045",0.00201675871616687,0.999959914026159,2,30,"negative regulation of wound healing","BP","Down","Day21","response to stress","PGEN_.00g092260;PGEN_.00g092270"
"12","GO:0072675",0.00161132726524391,0.999971595802268,2,27,"osteoclast fusion","BP","Down","Day21","immune system process","PGEN_.00g092260;PGEN_.00g092270"
"13","GO:0072675",0.00161132726524391,0.999971595802268,2,27,"osteoclast fusion","BP","Down","Day21","anatomical structure development","PGEN_.00g092260;PGEN_.00g092270"
"14","GO:0072675",0.00161132726524391,0.999971595802268,2,27,"osteoclast fusion","BP","Down","Day21","anatomical structure formation invo...","PGEN_.00g092260;PGEN_.00g092270"
"15","GO:0072675",0.00161132726524391,0.999971595802268,2,27,"osteoclast fusion","BP","Down","Day21","cell differentiation","PGEN_.00g092260;PGEN_.00g092270"
