"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","Day","dir","Gene_terms"
"1","PGEN_.00g002290","lipid metabolic process",0.000580363655418453,"GO:0006703","estrogen biosynthetic process","BP","Day21","Up","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase)"
"2","PGEN_.00g002290","biosynthetic process",0.000580363655418453,"GO:0006703","estrogen biosynthetic process","BP","Day21","Up","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase)"
"3","PGEN_.00g033640","protein maturation",4.96764269403334e-05,"GO:0002542","Factor XII activation","BP","Day21","Up","Plasma kallikrein"
"4","PGEN_.00g033640","protein maturation",5.98836139018745e-06,"GO:0031639","plasminogen activation","BP","Day21","Up","Plasma kallikrein"
"5","PGEN_.00g033640","response to stress",0.000158940804033294,"GO:0007597","blood coagulation, intrinsic pathway","BP","Day21","Up","Plasma kallikrein"
"6","PGEN_.00g033640","extracellular matrix organization",0.00121625757880267,"GO:0022617","extracellular matrix disassembly","BP","Day21","Up","Plasma kallikrein"
"7","PGEN_.00g033640","response to stress",0.0213171004886989,"GO:0050830","defense response to Gram-positive bacterium","BP","Day21","Up","Plasma kallikrein"
"8","PGEN_.00g033640","response to stress",4.96764269403334e-05,"GO:0002542","Factor XII activation","BP","Day21","Up","Plasma kallikrein"
"9","PGEN_.00g033640","response to stress",0.000135308289580866,"GO:0042730","fibrinolysis","BP","Day21","Up","Plasma kallikrein"
"10","PGEN_.00g033640","response to stress",8.51147139914224e-06,"GO:0051919","positive regulation of fibrinolysis","BP","Day21","Up","Plasma kallikrein"
"11","PGEN_.00g033640","protein maturation",0.00575243521761315,"GO:0031638","zymogen activation","BP","Day21","Up","Plasma kallikrein"
"12","PGEN_.00g033640","response to stress",0.00960180469457227,"GO:0048678","response to axon injury","BP","Day21","Up","Plasma kallikrein"
