"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"18","GO:0000398",3.44725271302514e-15,1,26,117,"mRNA splicing, via spliceosome","BP","black","Day21"
"157","GO:0006364",8.28935176462773e-14,1,21,81,"rRNA processing","BP","black","Day21"
"198","GO:0008380",2.04732577301748e-10,0.999999999977266,19,92,"RNA splicing","BP","black","Day21"
"648","GO:1904851",3.05805661446657e-09,1,6,6,"positive regulation of establishment of protein localization to telomere","BP","black","Day21"
"166","GO:0006457",4.53943302483923e-09,0.999999999551608,14,64,"protein folding","BP","black","Day21"
"151","GO:0006338",2.87477030987472e-08,0.999999996725654,14,58,"chromatin remodeling","BP","black","Day21"
"447","GO:0045727",6.94961427837637e-08,0.999999995211164,10,31,"positive regulation of translation","BP","black","Day21"
"163","GO:0006397",8.70418965285649e-08,0.999999984566695,18,116,"mRNA processing","BP","black","Day21"
"324","GO:0032212",1.10678381761343e-06,0.999999928851907,8,24,"positive regulation of telomere maintenance via telomerase","BP","black","Day21"
"187","GO:0007339",2.31093669606215e-06,0.999999947709267,5,11,"binding of sperm to zona pellucida","BP","black","Day21"
"588","GO:0090666",2.48137819854864e-06,1,4,4,"scaRNA localization to Cajal body","BP","black","Day21"
"650","GO:1904874",2.48137819854864e-06,1,4,4,"positive regulation of telomerase RNA localization to Cajal body","BP","black","Day21"
"506","GO:0051973",5.40321894573154e-06,0.999999648356624,7,23,"positive regulation of telomerase activity","BP","black","Day21"
"625","GO:1902570",6.31599382726445e-06,0.999999919976981,4,7,"protein localization to nucleolus","BP","black","Day21"
"49","GO:0001732",1.00376433314433e-05,0.999999708875067,5,10,"formation of cytoplasmic translation initiation complex","BP","black","Day21"
"623","GO:1901998",2.81438177624368e-05,0.999998198194317,6,19,"toxin transport","BP","black","Day21"
"454","GO:0045944",3.30743388912513e-05,0.999985615979957,37,548,"positive regulation of transcription by RNA polymerase II","BP","black","Day21"
"164","GO:0006413",3.95170762098354e-05,0.999996274154818,7,30,"translational initiation","BP","black","Day21"
"24","GO:0000466",4.06747124196438e-05,0.999999164792223,4,7,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP","black","Day21"
"182","GO:0007080",4.13377514235155e-05,0.999997255526587,6,17,"mitotic metaphase plate congression","BP","black","Day21"
"23","GO:0000463",4.3439878032774e-05,0.999998023420045,5,13,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP","black","Day21"
"159","GO:0006368",7.31674268511533e-05,0.99999406238406,6,25,"transcription elongation from RNA polymerase II promoter","BP","black","Day21"
"249","GO:0016584",8.32781623356039e-05,0.999997692161906,4,8,"nucleosome positioning","BP","black","Day21"
"174","GO:0006986",8.58933364955902e-05,0.999992642371449,6,29,"response to unfolded protein","BP","black","Day21"
"155","GO:0006355",8.77368956206602e-05,0.999967495897366,24,401,"regulation of transcription, DNA-templated","BP","black","Day21"
"173","GO:0006974",0.000136867549317013,0.999956715400716,18,189,"cellular response to DNA damage stimulus","BP","black","Day21"
"2","GO:0000027",0.000142677141952505,0.999994616466866,4,11,"ribosomal large subunit assembly","BP","black","Day21"
"305","GO:0031053",0.00014674531356464,0.999994914512235,4,9,"primary miRNA processing","BP","black","Day21"
"334","GO:0032968",0.000170152528243743,0.999988841817365,5,16,"positive regulation of transcription elongation from RNA polymerase II promoter","BP","black","Day21"
"401","GO:0043044",0.000179084108631149,0.999988348717196,5,15,"ATP-dependent chromatin remodeling","BP","black","Day21"
"176","GO:0007017",0.000183354267531923,0.999981118445793,6,42,"microtubule-based process","BP","black","Day21"
"179","GO:0007049",0.000188693399922363,0.999932255078832,21,252,"cell cycle","BP","black","Day21"
"162","GO:0006396",0.00021281842844782,0.999978786164969,6,26,"RNA processing","BP","black","Day21"
"158","GO:0006366",0.000225721616274192,0.999949390585342,11,105,"transcription by RNA polymerase II","BP","black","Day21"
"496","GO:0051301",0.000273569920867195,0.999891112996696,24,314,"cell division","BP","black","Day21"
"330","GO:0032786",0.000296908886419832,0.999987584619156,4,9,"positive regulation of DNA-templated transcription, elongation","BP","black","Day21"
"384","GO:0042026",0.000309396604152208,0.999984843417899,4,13,"protein refolding","BP","black","Day21"
"217","GO:0010793",0.000319058339039399,0.999985091432863,4,11,"regulation of mRNA export from nucleus","BP","black","Day21"
"233","GO:0016055",0.000420159098770547,0.999876719264425,14,142,"Wnt signaling pathway","BP","black","Day21"
"536","GO:0070198",0.000513917042854787,0.999971158902743,4,13,"protein localization to chromosome, telomeric region","BP","black","Day21"
"482","GO:0050684",0.000518395676819594,0.999971546307683,4,12,"regulation of mRNA processing","BP","black","Day21"
"410","GO:0043392",0.000551570882735536,0.999969214550954,4,12,"negative regulation of DNA binding","BP","black","Day21"
"518","GO:0060903",0.000613986318109741,0.999987318904846,3,5,"positive regulation of meiosis I","BP","black","Day21"
"141","GO:0006281",0.000636763845102382,0.999785395795699,16,195,"DNA repair","BP","black","Day21"
"581","GO:0080182",0.000654846186230069,0.999962862479582,4,11,"histone H3-K4 trimethylation","BP","black","Day21"
"264","GO:0017148",0.000659403419054169,0.999896182238169,7,43,"negative regulation of translation","BP","black","Day21"
"213","GO:0010501",0.000821013812588972,0.999981221400246,3,5,"RNA secondary structure unwinding","BP","black","Day21"
"17","GO:0000381",0.000833852448937547,0.999862168722961,7,47,"regulation of alternative mRNA splicing, via spliceosome","BP","black","Day21"
"571","GO:0071765",0.000838819254776458,1,2,2,"nuclear inner membrane organization","BP","black","Day21"
"439","GO:0045070",0.000850020174322875,0.999916041806805,5,20,"positive regulation of viral genome replication","BP","black","Day21"
"597","GO:0097198",0.000905352080057701,0.999974588893041,3,6,"histone H3-K36 trimethylation","BP","black","Day21"
"273","GO:0019827",0.000974805921194285,0.999898195331563,5,23,"stem cell population maintenance","BP","black","Day21"
"294","GO:0030521",0.00108200017059909,0.999958790535198,3,10,"androgen receptor signaling pathway","BP","black","Day21"
"500","GO:0051568",0.00116292507915498,0.99987275029853,5,24,"histone H3-K4 methylation","BP","black","Day21"
"412","GO:0043486",0.00116705581686259,0.999957854958561,3,8,"histone exchange","BP","black","Day21"
"451","GO:0045892",0.00117793876680792,0.999520547563399,20,314,"negative regulation of transcription, DNA-templated","BP","black","Day21"
"601","GO:0097676",0.0012885568278313,0.999959041402468,3,6,"histone H3-K36 dimethylation","BP","black","Day21"
"494","GO:0051131",0.00129103999786942,0.999954702641735,3,7,"chaperone-mediated protein complex assembly","BP","black","Day21"
"589","GO:0090669",0.00138451730114807,1,2,2,"telomerase RNA stabilization","BP","black","Day21"
"423","GO:0043984",0.00148032450758217,0.999885079505079,4,15,"histone H4-K16 acetylation","BP","black","Day21"
"470","GO:0048026",0.0016281226892935,0.999872370625438,4,14,"positive regulation of mRNA splicing, via spliceosome","BP","black","Day21"
"382","GO:0040016",0.00163497900631628,0.999943450300749,3,6,"embryonic cleavage","BP","black","Day21"
"651","GO:1905168",0.00172768009822429,0.999928353462308,3,8,"positive regulation of double-strand break repair via homologous recombination","BP","black","Day21"
"332","GO:0032922",0.00184553024004543,0.999705803306217,6,39,"circadian regulation of gene expression","BP","black","Day21"
"13","GO:0000278",0.00187551820068139,0.999494048508976,10,93,"mitotic cell cycle","BP","black","Day21"
