"","slim_term","slim_cat","category","Gene.Count","GO.Count","module_day"
"1","cellular nitrogen compound metaboli...","GO:0034641","GO:0000122",68,34,"Day21_pink"
"2","biosynthetic process","GO:0009058","GO:0000122",61,26,"Day21_pink"
"3","catabolic process","GO:0009056","GO:0000184",33,10,"Day21_pink"
"4","anatomical structure development","GO:0048856","GO:0001525",39,40,"Day21_pink"
"5","anatomical structure formation invo...","GO:0048646","GO:0001525",20,7,"Day21_pink"
"6","reproduction","GO:0000003","GO:0001553",4,7,"Day21_pink"
"7","chromosome organization","GO:0051276","GO:0001672",9,13,"Day21_pink"
"8","homeostatic process","GO:0042592","GO:0001678",8,7,"Day21_pink"
"9","cell differentiation","GO:0030154","GO:0001710",18,23,"Day21_pink"
"10","immune system process","GO:0002376","GO:0001779",44,45,"Day21_pink"
"11","cell population proliferation","GO:0008283","GO:0001938",16,8,"Day21_pink"
"12","response to stress","GO:0006950","GO:0002230",53,35,"Day21_pink"
"13","small molecule metabolic process","GO:0044281","GO:0006231",7,9,"Day21_pink"
"14","DNA metabolic process","GO:0006259","GO:0006282",10,6,"Day21_pink"
"15","cellular protein modification proce...","GO:0006464","GO:0006471",54,34,"Day21_pink"
"16","transport","GO:0006810","GO:0006851",12,12,"Day21_pink"
"17","cell death","GO:0008219","GO:0006915",34,19,"Day21_pink"
"18","signal transduction","GO:0007165","GO:0007219",63,47,"Day21_pink"
"19","cell cycle","GO:0007049","GO:0007346",9,7,"Day21_pink"
"20","cellular component assembly","GO:0022607","GO:0031048",22,10,"Day21_pink"
"21","cell-cell signaling","GO:0007267","GO:0032228",13,9,"Day21_pink"
