"","slim_term","slim_cat","category","Gene.Count","GO.Count","module_day"
"1","oxidoreductase activity","GO:0016491","GO:0000334",4,4,"Day21_pink"
"2","DNA binding","GO:0003677","GO:0000978",11,5,"Day21_pink"
"3","DNA-binding transcription factor ac...","GO:0003700","GO:0000981",15,3,"Day21_pink"
"4","RNA binding","GO:0003723","GO:0003725",8,4,"Day21_pink"
"5","nucleotidyltransferase activity","GO:0016779","GO:0003877",3,4,"Day21_pink"
"6","transferase activity, transferring ...","GO:0016757","GO:0003950",15,3,"Day21_pink"
"7","hydrolase activity, acting on carbo...","GO:0016810","GO:0004132",3,4,"Day21_pink"
"8","ATPase activity","GO:0016887","GO:0004386",7,3,"Day21_pink"
"9","phosphatase activity","GO:0016791","GO:0004651",3,3,"Day21_pink"
"10","transmembrane transporter activity","GO:0022857","GO:0005328",4,4,"Day21_pink"
"11","ion binding","GO:0043167","GO:0005524",128,6,"Day21_pink"
"12","enzyme binding","GO:0019899","GO:0031625",15,5,"Day21_pink"
