"","slim_term","slim_cat","category","Gene.Count","GO.Count","module_day"
"1","cellular component assembly","GO:0022607","GO:0000028",21,17,"Day21_magenta"
"2","protein-containing complex assembly","GO:0065003","GO:0000028",14,11,"Day21_magenta"
"3","catabolic process","GO:0009056","GO:0000045",18,12,"Day21_magenta"
"4","cell cycle","GO:0007049","GO:0000070",22,25,"Day21_magenta"
"5","mitotic cell cycle","GO:0000278","GO:0000070",18,16,"Day21_magenta"
"6","chromosome organization","GO:0051276","GO:0000070",16,15,"Day21_magenta"
"7","chromosome segregation","GO:0007059","GO:0000070",10,14,"Day21_magenta"
"8","mitotic nuclear division","GO:0140014","GO:0000070",10,9,"Day21_magenta"
"9","cellular nitrogen compound metaboli...","GO:0034641","GO:0000105",52,59,"Day21_magenta"
"10","biosynthetic process","GO:0009058","GO:0000105",45,36,"Day21_magenta"
"11","small molecule metabolic process","GO:0044281","GO:0000105",17,23,"Day21_magenta"
"12","cellular amino acid metabolic proce...","GO:0006520","GO:0000105",11,13,"Day21_magenta"
"13","mRNA processing","GO:0006397","GO:0000350",8,7,"Day21_magenta"
"14","DNA metabolic process","GO:0006259","GO:0000723",9,11,"Day21_magenta"
"15","homeostatic process","GO:0042592","GO:0000723",7,6,"Day21_magenta"
"16","cytoskeleton organization","GO:0007010","GO:0001578",11,9,"Day21_magenta"
"17","anatomical structure development","GO:0048856","GO:0001654",16,32,"Day21_magenta"
"18","transport","GO:0006810","GO:0002090",25,22,"Day21_magenta"
"19","vesicle-mediated transport","GO:0016192","GO:0002090",10,9,"Day21_magenta"
"20","tRNA metabolic process","GO:0006399","GO:0002101",9,12,"Day21_magenta"
"21","response to stress","GO:0006950","GO:0006301",11,13,"Day21_magenta"
"22","translation","GO:0006412","GO:0006419",18,14,"Day21_magenta"
"23","signal transduction","GO:0007165","GO:0007182",19,19,"Day21_magenta"
"24","membrane organization","GO:0061024","GO:0035964",5,6,"Day21_magenta"
