"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs","module_day"
"1","structural molecule activity","GO:0005198",1,"GO:0003735","GO:0003735",16,"PGEN_.00g000530;PGEN_.00g044880;PGEN_.00g056800;PGEN_.00g059620;PGEN_.00g076830;PGEN_.00g085430;PGEN_.00g086540;PGEN_.00g110580;PGEN_.00g153200;PGEN_.00g161760;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g243720;PGEN_.00g287530;PGEN_.00g329160;PGEN_.00g346720","Day14_pink"
"2","RNA binding","GO:0003723",4,"GO:0003743","GO:0003743;GO:0003746;GO:0070181",12,"PGEN_.00g025890;PGEN_.00g031190;PGEN_.00g059620;PGEN_.00g079690;PGEN_.00g082590;PGEN_.00g129890;PGEN_.00g132040;PGEN_.00g243720;PGEN_.00g266160;PGEN_.00g288180;PGEN_.00g314640;PGEN_.00g315270","Day14_pink"
"3","translation factor activity, RNA bi...","GO:0008135",2,"GO:0003743","GO:0003743;GO:0003746",10,"PGEN_.00g025890;PGEN_.00g031190;PGEN_.00g079690;PGEN_.00g082590;PGEN_.00g129890;PGEN_.00g132040;PGEN_.00g266160;PGEN_.00g288180;PGEN_.00g314640;PGEN_.00g315270","Day14_pink"
"4","cytoskeletal protein binding","GO:0008092",1,"GO:0003785","GO:0003785",2,"PGEN_.00g171310;PGEN_.00g171340","Day14_pink"
"5","oxidoreductase activity","GO:0016491",4,"GO:0004129","GO:0004129;GO:0008137;GO:0009055;GO:0047134",12,"PGEN_.00g043790;PGEN_.00g130000;PGEN_.00g133830;PGEN_.00g149020;PGEN_.00g173330;PGEN_.00g175650;PGEN_.00g186140;PGEN_.00g192240;PGEN_.00g201410;PGEN_.00g205440;PGEN_.00g220490;PGEN_.00g244560","Day14_pink"
"6","transmembrane transporter activity","GO:0022857",3,"GO:0004129","GO:0004129;GO:0015078;GO:0046933",12,"PGEN_.00g009770;PGEN_.00g036390;PGEN_.00g062170;PGEN_.00g089940;PGEN_.00g119420;PGEN_.00g122370;PGEN_.00g149020;PGEN_.00g173330;PGEN_.00g201410;PGEN_.00g202340;PGEN_.00g224000;PGEN_.00g273210","Day14_pink"
"7","peptidase activity","GO:0008233",1,"GO:0004298","GO:0004298",2,"PGEN_.00g187440;PGEN_.00g213840","Day14_pink"
"8","nuclease activity","GO:0004518",1,"GO:0004527","GO:0004527",2,"PGEN_.00g175440;PGEN_.00g331890","Day14_pink"
"9","kinase activity","GO:0016301",1,"GO:0004674","GO:0004674",16,"PGEN_.00g003210;PGEN_.00g017180;PGEN_.00g037100;PGEN_.00g046230;PGEN_.00g055310;PGEN_.00g117460;PGEN_.00g143060;PGEN_.00g200200;PGEN_.00g213430;PGEN_.00g213460;PGEN_.00g220300;PGEN_.00g223690;PGEN_.00g224420;PGEN_.00g274340;PGEN_.00g330340;PGEN_.00g341660","Day14_pink"
"10","ion binding","GO:0043167",2,"GO:0005524","GO:0005524;GO:0046872",99,"PGEN_.00g003050;PGEN_.00g003210;PGEN_.00g015370;PGEN_.00g017180;PGEN_.00g028280;PGEN_.00g032030;PGEN_.00g036260;PGEN_.00g036410;PGEN_.00g037100;PGEN_.00g039350;PGEN_.00g046230;PGEN_.00g054210;PGEN_.00g055310;PGEN_.00g062450;PGEN_.00g069090;PGEN_.00g071850;PGEN_.00g074360;PGEN_.00g076290;PGEN_.00g083620;PGEN_.00g089310;PGEN_.00g093050;PGEN_.00g108450;PGEN_.00g117460;PGEN_.00g128480;PGEN_.00g133830;PGEN_.00g138450;PGEN_.00g138790;PGEN_.00g139770;PGEN_.00g140040;PGEN_.00g143060;PGEN_.00g144610;PGEN_.00g145030;PGEN_.00g145560;PGEN_.00g146450;PGEN_.00g149210;PGEN_.00g149330;PGEN_.00g161160;PGEN_.00g164040;PGEN_.00g166550;PGEN_.00g168240;PGEN_.00g175440;PGEN_.00g175650;PGEN_.00g177620;PGEN_.00g179560;PGEN_.00g185910;PGEN_.00g186140;PGEN_.00g186470;PGEN_.00g187300;PGEN_.00g192240;PGEN_.00g199100;PGEN_.00g200200;PGEN_.00g200590;PGEN_.00g201410;PGEN_.00g201650;PGEN_.00g202340;PGEN_.00g206130;PGEN_.00g206570;PGEN_.00g209410;PGEN_.00g211140;PGEN_.00g211650;PGEN_.00g213130;PGEN_.00g213430;PGEN_.00g213460;PGEN_.00g217080;PGEN_.00g219460;PGEN_.00g220300;PGEN_.00g221090;PGEN_.00g223690;PGEN_.00g224420;PGEN_.00g225900;PGEN_.00g229960;PGEN_.00g232340;PGEN_.00g238290;PGEN_.00g240110;PGEN_.00g251150;PGEN_.00g251200;PGEN_.00g251740;PGEN_.00g255970;PGEN_.00g256060;PGEN_.00g258390;PGEN_.00g259100;PGEN_.00g261440;PGEN_.00g262470;PGEN_.00g273210;PGEN_.00g274340;PGEN_.00g280940;PGEN_.00g282580;PGEN_.00g285120;PGEN_.00g285680;PGEN_.00g299560;PGEN_.00g300100;PGEN_.00g315280;PGEN_.00g319130;PGEN_.00g321640;PGEN_.00g322310;PGEN_.00g330340;PGEN_.00g331890;PGEN_.00g341660;PGEN_.00g346720","Day14_pink"
"11","enzyme regulator activity","GO:0030234",2,"GO:0008656","GO:0008656",2,"PGEN_.00g052400;PGEN_.00g346720","Day14_pink"
"12","ubiquitin-like protein binding","GO:0032182",1,"GO:0032183","GO:0032183",3,"PGEN_.00g001730;PGEN_.00g023620;PGEN_.00g199700","Day14_pink"
"13","rRNA binding","GO:0019843",1,"GO:0070181","GO:0070181",2,"PGEN_.00g059620;PGEN_.00g243720","Day14_pink"
