Date,ID,Treatment,Exprmt.Day,Tank.ID,mgTOTAL_AFDW,mgProtein.mgAFDW,µmol.CRE.g.protein
20190808,1013,EHAM,DAY15,35,19.5831,7.399512888,2.125947354
20190808,1029,EHSM,DAY15,49,5.8286,7.25949622,0.774766542
20190808,1045,EHSM,DAY15,17,4.6667,14.00303906,1.601363514
20190808,1073,EHSA,DAY15,53,4.3875,17.98068299,1.091046651
20190808,1085,EHAA,DAY15,27,4.7238,8.328855235,2.135070917
20190808,1089,EHAA,DAY15,64,5.3818,13.75539927,1.027811963
20190808,1093,EHAA,DAY15,29,4.497,7.25503716,0.030818479
20190808,1121,EHSA,DAY15,18,0.6667,13.07275226,4.870386341
20190808,1129,EHAA,DAY15,32,3.75,14.62635518,0.686579738
20190811,1197,EHSM,DAY18,22,9.6333,9.963065504,0.887120534
20190811,1201,EHAM,DAY18,28,8.3217,5.542782606,4.042455018
20190811,1217,EHAM,DAY18,68,9.3176,16.60541836,1.831624422
20190811,1245,EHSM,DAY18,59,4.7238,19.6885009,1.33530588
20190811,1253,EHAM,DAY18,35,3.7856,10.10141409,3.575141994
20190811,1261,EHAM,DAY18,65,7.4643,18.26377281,1.367862161
20190811,1289,EHSM,DAY18,54,6.4565,7.12410621,1.320249428
20190811,1301,EHSA,DAY18,13,4.2658,10.365861,0.724631732
20190811,1321,EHSA,DAY18,56,7.2222,13.29029265,1.17979759
20190811,1361,EHSA,DAY18,53,3.6111,2.208325059,-0.03865883
20190811,1377,EHAA,DAY18,64,6.7889,11.9607927,1.495850073
20190811,1409,EHSA,DAY18,18,1.9059,4.897397285,-0.027438867
20190811,1413,EHAA,DAY18,67,4.8167,13.66875528,1.578968367
20190811,1417,EHAA,DAY18,32,7.6322,16.17238493,1.003763872
20190811,1429,EHAA,DAY18,71,12.7203,13.98062446,1.030267239
20190814,1437,AHSM,DAY21,19,4.977777778,8.458826853,1.904547181
20190814,1438,AHSM,DAY21,19,2.923529412,10.42499876,3.790967596
20190814,1441,AHAM,DAY21,25,2.529268293,11.82478451,2.385651763
20190814,1447,EHSM,DAY21,20,11.76,13.03494529,1.629262972
20190814,1450,EHAM,DAY21,63,12.1727,26.6262161,1.142663556
20190814,1453,AHAM,DAY21,69,4.35,9.295035365,1.797946244
20190814,1456,EHMM,DAY21,1,5.189473684,11.94309166,1.764067155
20190814,1458,EHMM,DAY21,38,3.560273973,10.17037805,2.033279749
20190814,1461,EHAM,DAY21,31,3.9333,11.82010312,1.458561325
20190814,1465,AHMM,DAY21,40,3.614285714,1.599324522,0.609680784
20190814,1468,AHMM,DAY21,5,4.134042553,10.94598937,1.8185715
20190814,1470,AHMM,DAY21,42,1.625,6.148578965,3.3201189
20190814,1473,EHSM,DAY21,22,3.457142857,5.603582091,3.134611417
20190814,1476,EHAM,DAY21,28,3.062745098,9.363298611,0.181838886
20190814,1477,EHAM,DAY21,28,1.1524,8.344518521,0.075264099
20190814,1479,AHAM,DAY21,34,2.913513514,14.9866651,1.779428435
20190814,1483,EHAA,DAY21,67,4.8462,11.34551185,-0.006210763
20190814,1486,AHAM,DAY21,62,3.717241379,4.14839629,3.06173701
20190814,1488,EHAM,DAY21,68,6.8216,7.086347706,0.8289617
20190814,1492,EHMM,DAY21,43,12.79236641,11.14769665,1.384431771
20190814,1494,EHMM,DAY21,8,12.72857143,18.21318776,1.306356207
20190814,1497,EHMM,DAY21,45,7.835087719,24.47384698,1.067448581
20190814,1501,AHMM,DAY21,10,1.35,1.625037044,1.752480166
20190814,1503,AHMM,DAY21,47,24.96666667,18.88750295,2.173981413
20190814,1507,AHMM,DAY21,12,2.138709677,12.9561669,2.3065264
20190814,1509,EHSM,DAY21,21,9.069230769,14.27875326,1.335663318
20190814,1513,AHSM,DAY21,60,1.013793103,21.73913321,2.913050114
20190814,1516,EHAM,DAY21,35,7.162264151,16.75500559,1.655351284
20190814,1519,AHAM,DAY21,30,2.541176471,5.061042098,2.708121789
20190814,1522,EHAM,DAY21,65,13.2,12.37338155,1.73429932
20190814,1525,AHAM,DAY21,72,6.282178218,6.344308402,1.648574427
20190814,1528,EHSM,DAY21,49,25.8539,5.6191177,2.092348111
20190814,1530,AHSM,DAY21,14,3.575268817,10.7850584,1.702420333
20190814,1533,AHSM,DAY21,51,5.460606061,12.84304627,1.481153744
20190814,1536,AHSM,DAY21,16,4.102597403,8.639046161,1.752832082
20190814,1540,EHSM,DAY21,17,11.3182,21.31057519,1.052991348
20190814,1542,EHSM,DAY21,54,14.91111111,18.63324207,1.203854559
20190814,1546,AHMA,DAY21,46,4.107246377,11.09272074,1.916790947
20190814,1548,AHMA,DAY21,4,6.105263158,4.120786149,1.777371886
20190814,1551,EHSA,DAY21,13,5.866666667,2.366015065,0.169320367
20190814,1552,EHSA,DAY21,13,1.8857,13.49400466,3.082282064
20190814,1555,EHMA,DAY21,37,5.4,16.60910931,1.353095104
20190814,1558,EHMA,DAY21,7,4.447826087,10.20008434,1.968236157
20190814,1561,AHSA,DAY21,50,4.541860465,14.16320195,1.740318977
20190814,1563,AHSA,DAY21,55,2.345070423,5.068320253,3.056516212
20190814,1564,AHSA,DAY21,55,4.017073171,11.17706086,2.098300284
20190814,1566,EHSA,DAY21,56,7.8571,8.560623011,1.314717968
20190814,1570,AHSA,DAY21,21,3.167032967,8.184777263,2.284266005
20190814,1573,EHSA,DAY21,58,14.2615,10.32965539,1.400090984
20190814,1575,EHSA,DAY21,23,19.8824,12.96727445,1.454543119
20190814,1579,AHSA,DAY21,24,1.05,50.82860562,1.642544462
20190814,1581,EHMA,DAY21,2,2.888888889,10.33380096,2.648760403
20190814,1585,EHMA,DAY21,44,5.019047619,9.232931198,1.643297962
20190814,1587,AHSA,DAY21,15,5.083783784,7.398550069,2.070761042
20190814,1588,AHSA,DAY21,15,0.835294118,2.682665355,-3.176211072
20190814,1591,AHMA,DAY21,11,3.888888889,8.544222344,1.817802387
20190814,1594,AHMA,DAY21,41,-0.457894737,-28.9638298,3.480720316
20190814,1596,EHSA,DAY21,53,7.935483871,9.935887797,1.804831345
20190814,1599,AHAA,DAY21,61,2.618181818,14.66305153,2.047582237
20190814,1602,AHAA,DAY21,26,0.777777778,27.01706091,3.09219515
20190814,1605,EHAA,DAY21,27,2.359,21.68343387,2.735416785
20190814,1606,EHAA,DAY21,27,6.066666667,11.59855235,1.102397628
20190814,1608,EHAA,DAY21,64,13.6714,8.487980063,1.219128574
20190814,1612,EHAA,DAY21,29,7.1791,11.89016184,1.886728499
20190814,1614,AHAA,DAY21,66,5.068965517,4.101200206,2.405096757
20190814,1618,AHMA,DAY21,6,0.142553191,62.79815101,1.05238362
20190814,1620,EHMA,DAY21,9,3.630769231,11.8855678,2.047535144
20190814,1624,AHSA,DAY21,52,4.414285714,6.560550189,2.19898353
20190814,1626,EHMA,DAY21,39,10.5,14.63185785,0.998844769
20190814,1629,AHMA,DAY21,48,4.971428571,2.850167538,3.54975131
20190814,1633,EHSA,DAY21,18,2.877777778,13.35370674,1.868834829
20190814,1636,EHAA,DAY21,67,2.724489796,15.15025082,2.261028582
20190814,1639,EHAA,DAY21,32,4.509090909,9.060761817,1.845885399
20190814,1642,AHAA,DAY21,33,0.763157895,19.65946734,3.869783264
20190814,1644,AHAA,DAY21,70,3.443478261,12.90663798,1.848669105
20190814,1648,EHAA,DAY21,71,5.590909091,15.75745682,1.477391416
20190814,1650,AHAA,DAY21,36,2.8,18.86056079,1.584577597
20190728,177,EHM,Day4,1,5.678,23.6404835,1.512328459
20190728,181,EHM,Day4,2,5.7,15.95535831,1.413949896
20190728,185,EHM,Day4,3,6.12,11.75695007,1.410934977
20190728,189,AHM,Day4,4,4.2241,13.02800032,1.821524485
20190728,193,AHM,Day4,5,1.6452,26.812966,1.968515913
20190728,197,AHM,Day4,6,1.65,29.41612805,2.456595689
20190728,201,EHM,Day4,7,5.1429,14.86881466,1.8527539
20190728,205,EHM,Day4,8,15.54,15.05236326,0.81705498
20190728,209,EHM,Day4,9,5.4,17.96579863,1.837562725
20190728,213,AHM,Day4,10,3.1765,15.80531344,1.746340153
20190728,217,AHM,Day4,11,10.23,11.20974186,1.778298954
20190728,221,AHM,Day4,12,1.131,29.67927437,2.313209002
20190731,321,EHM,Day7,1,7.5755,16.16359933,1.839796987
20190731,327,EHM,Day7,2,5.818181818,15.79909001,1.349299349
20190731,329,EHM,Day7,3,6.2026,14.09748845,1.799567664
20190725,33,EHM,Day1,1,1.2348,10.46029735,5.172461049
20190731,333,AHM,Day7,4,2.5412,10.64881518,2.498592397
20190731,337,AHM,Day7,11,1.8532,13.87380574,-0.012359325
20190731,338,AHM,Day7,11,3.116666667,4.643946437,0.194793299
20190731,341,AHM,Day7,6,6.0667,10.95142062,0.908795214
20190731,345,EHM,Day7,7,9.8163,12.78756234,1.707512292
20190731,349,EHM,Day7,8,5.4,6.661225274,0.00527412
20190731,351,EHM,Day7,8,2.961290323,19.59319792,1.019897115
20190731,353,EHM,Day7,9,6.4279,13.07821587,1.880490742
20190731,357,AHM,Day7,10,0.9312,17.96061409,7.704173499
20190731,358,AHM,Day7,10,2.5,25.16601321,1.70180445
20190731,361,AHM,Day7,5,2.1778,19.61140122,1.506997141
20190731,365,AHM,Day7,12,7.389,26.85572377,1.312927506
20190731,369,EHS,Day7,13,6.3,20.47108918,1.124902767
20190725,37,EHM,Day1,2,4.65,7.437701834,0.199804699
20190731,373,AHS,Day7,14,2.036363636,32.64099218,1.510281396
20190731,377,AHS,Day7,15,0.892682927,28.10245385,2.119806416
20190731,382,AHS,Day7,16,2.85,7.973447419,1.620436249
20190731,387,EHS,Day7,17,5.785826772,18.54060303,1.334765482
20190731,391,EHS,Day7,18,4.273684211,7.842125462,2.125579348
20190731,394,AHS,Day7,19,4.578947368,20.03050025,1.176286049
20190731,399,EHS,Day7,20,2.6,17.32249524,1.580941087
20190731,401,AHS,Day7,21,6.02,21.39520783,1.286580603
20190731,406,EHS,Day7,22,7.935294118,16.32429405,2.12233848
20190725,41,EHM,Day1,3,1.0388,15.16979465,5.428934515
20190731,410,EHS,Day7,23,4.671028037,19.68778001,1.239895221
20190731,415,AHS,Day7,24,2.7,19.91928826,1.42757401
20190731,418,AHA,Day7,25,5.657142857,7.816246119,1.918931064
20190731,421,AHA,Day7,26,1.764705882,26.15248647,1.716459868
20190731,427,EHA,Day7,27,4.273684211,22.74440809,1.618594753
20190731,431,EHA,Day7,28,13.02753623,13.83472383,1.445698406
20190731,433,EHA,Day7,29,11.27887324,26.61076333,0.952180002
20190731,437,AHA,Day7,30,2.442105263,17.54943084,1.380916306
20190731,442,EHA,Day7,31,8.126086957,23.88344667,1.188712629
20190731,446,EHA,Day7,32,7.735714286,21.04069843,1.109957035
20190731,449,AHA,Day7,33,10.68571429,9.403384056,1.147958022
20190725,45,AHM,Day1,4,4.3575,16.45726896,2.349910673
20190731,450,AHA,Day7,33,1.623809524,13.39129491,-0.261292542
20190731,454,AHA,Day7,34,5.847058824,17.2279449,1.293516872
20190731,459,EHA,Day7,35,4.704255319,16.50894698,1.635196195
20190731,461,AHA,Day7,36,3.289247312,12.24881136,2.150801717
20190725,49,AHM,Day1,5,2.8511,9.521508247,0.007803748
20190725,53,AHM,Day1,6,1.5405,14.81168082,0.007898696
20190725,57,EHM,Day1,7,9.75,18.07012716,0.808671183
20190725,61,EHM,Day1,8,2.2692,8.825128208,2.757379414
20190725,65,EHM,Day1,9,14.1493,12.39368814,1.684422169
20190725,69,AHM,Day1,10,3.166,17.52574702,1.298108425
20190725,73,AHM,Day1,11,2.6054,18.81199214,2.245027385
20190725,77,AHM,Day1,12,2.5412,8.330459307,2.710015955
20190808,869,EHAM,DAY15,31,3.78,17.61413532,0.144604155
20190808,873,EHSM,DAY15,20,9.7492,17.86285815,1.655407158
20190808,877,EHAM,DAY15,63,2.5032,28.51829195,1.7958506
20190808,909,EHSM,DAY15,22,5.429,8.688152843,2.020491219
20190808,913,EHAM,DAY15,28,8.6417,11.25575596,1.267695899
20190808,965,EHSA,DAY15,13,NA,NA,2.439848035
20190808,997,EHSA,DAY15,23,11.9024,11.84899967,1.44077031
