"","Gene","Gene_Description","AA","AM","AS","MA","MM","MS","foldChangeRatioModerate","ControlRatioModerate","foldChangeRatioSevere","ControlRatioSevere","baseMeanNAIVE_control","baseMeanPRIMED_control","baseMeanNAIVE_foldChangeModerate","baseMeanPRIMED_foldChangeModerate","baseMeanNAIVE_foldChangeSevere","baseMeanPRIMED_foldChangeSevere","Frontloaded"
"1","PGEN_.00g000320",NA,53.334901755805,41.11993716368,51.6227309644962,46.1524859584514,73.0922603507773,45.2481913681178,NA,NA,NA,NA,53.334901755805,46.1524859584514,0.770976149013053,1.5837123143611,0.967897741723646,0.980406373100949,NA
"2","PGEN_.00g000600","Xylose isomerase (EC 5.3.1.5)",22.7213259040136,14.5091059547325,11.2090283556315,12.578503730214,7.91127401333548,12.9887535823808,NA,NA,NA,NA,22.7213259040136,12.578503730214,0.638567749788298,0.62895191534843,0.493326331525903,1.03261515526535,NA
"3","PGEN_.00g000980","SMC5-SMC6 complex localization factor protein 1 (Ankyrin repeat domain-containing protein 32) (BRCT domain-containing protein 1) (Smc5/6 localization factor 1)",28.7109481148508,24.4380272645646,21.5099933833224,22.6431929660587,25.0670898417095,21.4452730250579,NA,NA,NA,NA,28.7109481148508,22.6431929660587,0.851174512482365,1.1070474857183,0.749191329289344,0.947095803016987,NA
"4","PGEN_.00g001130","General transcription factor IIE subunit 2 (Transcription initiation factor IIE subunit beta) (TFIIE-beta)",15.0933795332316,14.4835179808841,13.6927216286006,13.032391327971,13.6552695834318,13.253740420096,NA,NA,NA,NA,15.0933795332316,13.032391327971,0.959594102102535,1.04779462492996,0.907200511221025,1.01698453388596,NA
"5","PGEN_.00g001350","Apolipophorins [Cleaved into: Apolipophorin-2 (Apolipophorin II) (apoLp-2); Apolipophorin-1 (Apolipophorin I) (apoLp-1)]",471.438846236188,312.053240128976,329.303234073922,161.252581503821,148.16696419332,175.484482629349,NA,NA,NA,NA,471.438846236188,161.252581503821,0.661916688920112,0.918850184049978,0.698506787684065,1.08825843898313,NA
"6","PGEN_.00g001540","Serum paraoxonase/arylesterase 1 (PON 1) (EC 3.1.1.2) (EC 3.1.1.81) (EC 3.1.8.1) (Aromatic esterase 1) (A-esterase 1) (K-45) (Serum aryldialkylphosphatase 1)",21.7266362174219,18.0353763279631,12.8597746361865,6.2827299640326,9.7326379758288,11.6098151661554,NA,NA,NA,NA,21.7266362174219,6.2827299640326,0.830104400307543,1.54910970733204,0.591889812463225,1.84789338911895,NA
"7","PGEN_.00g002090",NA,192.990267705536,184.981076180846,168.271705534384,167.161632300888,169.974296562983,180.760324847253,NA,NA,NA,NA,192.990267705536,167.161632300888,0.958499505597295,1.01682601577515,0.871918089626844,1.08135056088641,NA
"8","PGEN_.00g002290","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase) (EC 1.1.1.270) (Estradiol 17-beta-dehydrogenase) (EC 1.1.1.62) (Short-chain dehydrogenase/reductase family 24C member 1)",13.2813275635042,10.9383552009139,14.2009876927377,8.45495755111703,9.39456683934523,7.83334699478311,NA,NA,0.866480653626048,0.636604850734232,13.2813275635042,8.45495755111703,0.823588993540934,1.11113116565607,1.06924459357215,0.926479754324515,NA
"9","PGEN_.00g002440","Cytochrome P450 10 (EC 1.14.-.-) (CYPX)",28.0706599177906,35.4986067186293,23.0754927073351,17.0916813069831,24.4386168105881,16.8451262875539,1.13066292159915,0.6088806375425,NA,NA,28.0706599177906,17.0916813069831,1.26461603762051,1.42985446379715,0.8220502394641,0.985574560220214,"Not frontloaded"
"10","PGEN_.00g002500","Transmembrane protein 214-A",8.55266347129186,8.67672662882392,11.010368320019,8.36196734449472,7.8876411560064,9.14715841653081,0.929788448603661,0.977703305240848,0.849722796825147,0.977703305240848,8.55266347129186,8.36196734449472,1.01450579202005,0.943275766461753,1.28736134152557,1.09390027964568,"Not frontloaded"
