"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_terms"
"1","crg:105320309","crg00970","Aminoacyl-tRNA biosynthesis","105320309/105327616/105330840/105332324",4,"105320309","isoleucine--tRNA ligase, cytoplasmic"
"2","crg:105327616","crg00970","Aminoacyl-tRNA biosynthesis","105320309/105327616/105330840/105332324",4,"105327616","alanine--tRNA ligase, cytoplasmic"
"3","crg:105328208","crg04141","Protein processing in endoplasmic reticulum","105328208/105328488/105337929/105339435/105341388/105342784/105346349/105347543",8,"105328208","BUB3-interacting and GLEBS motif-containing protein ZNF207"
"4","crg:105328488","crg04141","Protein processing in endoplasmic reticulum","105328208/105328488/105337929/105339435/105341388/105342784/105346349/105347543",8,"105328488","neutral alpha-glucosidase AB"
"5","crg:105330840","crg00970","Aminoacyl-tRNA biosynthesis","105320309/105327616/105330840/105332324",4,"105330840","serine--tRNA synthetase-like protein Slimp"
"6","crg:105332324","crg00970","Aminoacyl-tRNA biosynthesis","105320309/105327616/105330840/105332324",4,"105332324","glycine--tRNA ligase"
"7","crg:105337929","crg04141","Protein processing in endoplasmic reticulum","105328208/105328488/105337929/105339435/105341388/105342784/105346349/105347543",8,"105337929","protein ERGIC-53"
"8","crg:105339435","crg04141","Protein processing in endoplasmic reticulum","105328208/105328488/105337929/105339435/105341388/105342784/105346349/105347543",8,"105339435","dnaJ homolog subfamily B member 11"
"9","crg:105341388","crg04141","Protein processing in endoplasmic reticulum","105328208/105328488/105337929/105339435/105341388/105342784/105346349/105347543",8,"105341388","protein disulfide-isomerase A6"
"10","crg:105342784","crg04141","Protein processing in endoplasmic reticulum","105328208/105328488/105337929/105339435/105341388/105342784/105346349/105347543",8,"105342784","protein SEC13 homolog"
"11","crg:105346349","crg04141","Protein processing in endoplasmic reticulum","105328208/105328488/105337929/105339435/105341388/105342784/105346349/105347543",8,"105346349","protein disulfide-isomerase A3"
"12","crg:105347543","crg04141","Protein processing in endoplasmic reticulum","105328208/105328488/105337929/105339435/105341388/105342784/105346349/105347543",8,"105347543","UDP-glucose:glycoprotein glucosyltransferase 1"
