"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_terms"
"1","crg:105317347","crg03013","RNA transport","105338957/105318801/105319208/105321705/105321781/105322817/105327952/105328593/105330153/105331595/105331793/105336042/105343479/105317347/109617380/105344597",16,"105317347","eukaryotic translation initiation factor 4 gamma 2"
"2","crg:105317596","crg03040","Spliceosome","105317596/105318386/105319208/105319620/105322600/105322652/105330153/105333111/105334527/105336187/105340246/105340745/105345480/105347185",14,"105317596","protein CWC15 homolog A"
"3","crg:105318386","crg03040","Spliceosome","105317596/105318386/105319208/105319620/105322600/105322652/105330153/105333111/105334527/105336187/105340246/105340745/105345480/105347185",14,"105318386","U2 small nuclear ribonucleoprotein A'"
"4","crg:105318560","crg03008","Ribosome biogenesis in eukaryotes","105318560/105323847/105326651/105327664/105329502/105329551/105331087/105332140/105341403/105342694/105347334/105347537",12,"105318560","RNA-binding protein 28"
"5","crg:105318801","crg03013","RNA transport","105338957/105318801/105319208/105321705/105321781/105322817/105327952/105328593/105330153/105331595/105331793/105336042/105343479/105317347/109617380/105344597",16,"105318801","ribonuclease P protein subunit p14"
"6","crg:105318855","crg04141","Protein processing in endoplasmic reticulum","105318855/105319990/105322320/105325010/105325130/105328488/105328795/105330973/105331513/105333774/105335023",11,"105318855","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B"
"7","crg:105319208","crg03013","RNA transport","105338957/105318801/105319208/105321705/105321781/105322817/105327952/105328593/105330153/105331595/105331793/105336042/105343479/105317347/109617380/105344597",16,"105319208","spliceosome RNA helicase DDX39B"
"8","crg:105319208","crg03040","Spliceosome","105317596/105318386/105319208/105319620/105322600/105322652/105330153/105333111/105334527/105336187/105340246/105340745/105345480/105347185",14,"105319208","spliceosome RNA helicase DDX39B"
"9","crg:105319620","crg03040","Spliceosome","105317596/105318386/105319208/105319620/105322600/105322652/105330153/105333111/105334527/105336187/105340246/105340745/105345480/105347185",14,"105319620","splicing factor 3B subunit 2"
"10","crg:105319990","crg04141","Protein processing in endoplasmic reticulum","105318855/105319990/105322320/105325010/105325130/105328488/105328795/105330973/105331513/105333774/105335023",11,"105319990","dnaJ homolog subfamily A member 1"
"11","crg:105321705","crg03013","RNA transport","105338957/105318801/105319208/105321705/105321781/105322817/105327952/105328593/105330153/105331595/105331793/105336042/105343479/105317347/109617380/105344597",16,"105321705","TAR DNA-binding protein 43"
"12","crg:105321781","crg03013","RNA transport","105338957/105318801/105319208/105321705/105321781/105322817/105327952/105328593/105330153/105331595/105331793/105336042/105343479/105317347/109617380/105344597",16,"105321781","eukaryotic translation initiation factor 3 subunit A"
"13","crg:105322320","crg04141","Protein processing in endoplasmic reticulum","105318855/105319990/105322320/105325010/105325130/105328488/105328795/105330973/105331513/105333774/105335023",11,"105322320","protein disulfide-isomerase A4"
"14","crg:105322600","crg03040","Spliceosome","105317596/105318386/105319208/105319620/105322600/105322652/105330153/105333111/105334527/105336187/105340246/105340745/105345480/105347185",14,"105322600","U2 snRNP-associated SURP motif-containing protein"
"15","crg:105322652","crg03040","Spliceosome","105317596/105318386/105319208/105319620/105322600/105322652/105330153/105333111/105334527/105336187/105340246/105340745/105345480/105347185",14,"105322652","transcription elongation regulator 1"
"16","crg:105322817","crg03013","RNA transport","105338957/105318801/105319208/105321705/105321781/105322817/105327952/105328593/105330153/105331595/105331793/105336042/105343479/105317347/109617380/105344597",16,"105322817","regulator of nonsense transcripts 3A"
"17","crg:105323847","crg03008","Ribosome biogenesis in eukaryotes","105318560/105323847/105326651/105327664/105329502/105329551/105331087/105332140/105341403/105342694/105347334/105347537",12,"105323847","transducin beta-like protein 3"
"18","crg:105325010","crg04141","Protein processing in endoplasmic reticulum","105318855/105319990/105322320/105325010/105325130/105328488/105328795/105330973/105331513/105333774/105335023",11,"105325010","hypoxia up-regulated protein 1"
"19","crg:105325130","crg04141","Protein processing in endoplasmic reticulum","105318855/105319990/105322320/105325010/105325130/105328488/105328795/105330973/105331513/105333774/105335023",11,"105325130","cullin-1"
"20","crg:105326651","crg03008","Ribosome biogenesis in eukaryotes","105318560/105323847/105326651/105327664/105329502/105329551/105331087/105332140/105341403/105342694/105347334/105347537",12,"105326651","guanine nucleotide-binding protein-like 3 homolog"
"21","crg:105327664","crg03008","Ribosome biogenesis in eukaryotes","105318560/105323847/105326651/105327664/105329502/105329551/105331087/105332140/105341403/105342694/105347334/105347537",12,"105327664","ribonuclease 3"
"22","crg:105327952","crg03013","RNA transport","105338957/105318801/105319208/105321705/105321781/105322817/105327952/105328593/105330153/105331595/105331793/105336042/105343479/105317347/109617380/105344597",16,"105327952","eukaryotic translation initiation factor 4 gamma 3"
"23","crg:105328488","crg04141","Protein processing in endoplasmic reticulum","105318855/105319990/105322320/105325010/105325130/105328488/105328795/105330973/105331513/105333774/105335023",11,"105328488","neutral alpha-glucosidase AB"
"24","crg:105328593","crg03013","RNA transport","105338957/105318801/105319208/105321705/105321781/105322817/105327952/105328593/105330153/105331595/105331793/105336042/105343479/105317347/109617380/105344597",16,"105328593","nucleoporin seh1"
"25","crg:105328795","crg04141","Protein processing in endoplasmic reticulum","105318855/105319990/105322320/105325010/105325130/105328488/105328795/105330973/105331513/105333774/105335023",11,"105328795","alpha-crystallin B chain"
"26","crg:105329502","crg03008","Ribosome biogenesis in eukaryotes","105318560/105323847/105326651/105327664/105329502/105329551/105331087/105332140/105341403/105342694/105347334/105347537",12,"105329502","U3 small nucleolar RNA-associated protein 14 homolog A"
"27","crg:105329551","crg03008","Ribosome biogenesis in eukaryotes","105318560/105323847/105326651/105327664/105329502/105329551/105331087/105332140/105341403/105342694/105347334/105347537",12,"105329551","nucleolar protein 56"
"28","crg:105330153","crg03013","RNA transport","105338957/105318801/105319208/105321705/105321781/105322817/105327952/105328593/105330153/105331595/105331793/105336042/105343479/105317347/109617380/105344597",16,"105330153","THO complex subunit 2"
"29","crg:105330153","crg03040","Spliceosome","105317596/105318386/105319208/105319620/105322600/105322652/105330153/105333111/105334527/105336187/105340246/105340745/105345480/105347185",14,"105330153","THO complex subunit 2"
"30","crg:105330973","crg04141","Protein processing in endoplasmic reticulum","105318855/105319990/105322320/105325010/105325130/105328488/105328795/105330973/105331513/105333774/105335023",11,"105330973","UBX domain-containing protein 6"
"31","crg:105331087","crg03008","Ribosome biogenesis in eukaryotes","105318560/105323847/105326651/105327664/105329502/105329551/105331087/105332140/105341403/105342694/105347334/105347537",12,"105331087","casein kinase II subunit alpha"
"32","crg:105331513","crg04141","Protein processing in endoplasmic reticulum","105318855/105319990/105322320/105325010/105325130/105328488/105328795/105330973/105331513/105333774/105335023",11,"105331513","protein transport protein Sec31A"
"33","crg:105331595","crg03013","RNA transport","105338957/105318801/105319208/105321705/105321781/105322817/105327952/105328593/105330153/105331595/105331793/105336042/105343479/105317347/109617380/105344597",16,"105331595","eukaryotic translation initiation factor 2 subunit 2"
"34","crg:105331793","crg03013","RNA transport","105338957/105318801/105319208/105321705/105321781/105322817/105327952/105328593/105330153/105331595/105331793/105336042/105343479/105317347/109617380/105344597",16,"105331793","probable ATP-dependent RNA helicase DDX20"
"35","crg:105332140","crg03008","Ribosome biogenesis in eukaryotes","105318560/105323847/105326651/105327664/105329502/105329551/105331087/105332140/105341403/105342694/105347334/105347537",12,"105332140","nucleolar protein 58"
"36","crg:105333111","crg03040","Spliceosome","105317596/105318386/105319208/105319620/105322600/105322652/105330153/105333111/105334527/105336187/105340246/105340745/105345480/105347185",14,"105333111","splicing factor 3B subunit 1"
"37","crg:105333774","crg04141","Protein processing in endoplasmic reticulum","105318855/105319990/105322320/105325010/105325130/105328488/105328795/105330973/105331513/105333774/105335023",11,"105333774","translocation protein SEC63 homolog"
