"","Day","slim_term","count","Gene_terms","Pattern"
"1","Day14","hydrolase activity, acting on glyco...",1,"Di-N-acetylchitobiase","Transient genes: Ambient recovery = preparatory regulation?"
"2","Day7, Day14, Day21","hydrolase activity, acting on glyco...",1,"Chitotriosidase-1","Persistant genes"
"3","Day7, Day21","hydrolase activity, acting on glyco...",1,"Beta-1,3-glucan-binding protein","Transient genes: consistantly induced by stress"
"4","Day14, Day21","kinase activity",1,"Myosin light chain kinase, smooth muscle","Transient genes: Ambient recovery + stress_3 = preparatory regulation?"
"5","Day21","kinase activity",1,"Choline/ethanolamine kinase","Transient genes: unique stress response"
"6","Day14","ligase activity",1,"Malonate--CoA ligase ACSF3, mitochondrial","Transient genes: Ambient recovery = preparatory regulation?"
"7","Day7, Day14","lipid binding",1,"NPC intracellular cholesterol transporter 1","Transient genes: stress_2 + Ambient recovery - frontload?"
"8","Day14","lyase activity",1,"Enoyl-CoA hydratase, mitochondrial","Transient genes: Ambient recovery = preparatory regulation?"
"9","Day21","lyase activity",1,"Ethanolamine-phosphate phospho-lyase","Transient genes: unique stress response"
"10","Day7, Day14, Day21","lyase activity",1,"2-hydroxyacyl-CoA lyase 1","Persistant genes"
"11","Day7, Day21","peptidase activity",1,"Tripeptidyl-peptidase 2","Transient genes: consistantly induced by stress"
"12","Day21","phosphatase activity",1,"Inositol polyphosphate-4-phosphatase type I A","Transient genes: unique stress response"
"13","Day14","structural molecule activity",1,"Lambda-crystallin","Transient genes: Ambient recovery = preparatory regulation?"
"14","Day14, Day21","structural molecule activity",1,"Crystallin J1C","Transient genes: Ambient recovery + stress_3 = preparatory regulation?"
"15","Day7","structural molecule activity",1,"ERC protein 2","Transient genes: unique stress response"
"16","Day21","transcription factor binding",1,"Low-density lipoprotein receptor-related protein 2","Transient genes: unique stress response"
"17","Day7","DNA binding",2,"DNA mismatch repair protein Msh6, G/T mismatch-specific thymine DNA glycosylase","Transient genes: unique stress response"
"18","Day14, Day21","enzyme regulator activity",2,"Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment, Folliculin-interacting protein 1","Transient genes: Ambient recovery + stress_3 = preparatory regulation?"
"19","Day7","enzyme regulator activity",2,"3-phosphoinositide-dependent protein kinase 1, Ganglioside GM2 activator","Transient genes: unique stress response"
