"","Day","slim_term","count","Gene_terms","Pattern"
"1","Day7, Day14","protein transport",2,"Ras-related protein Rab-8A, TBC1 domain family member 22A","Transient genes: stress_2 + ambient recovery - frontload?"
"2","Day7","immune system process",3,"Copine-3, DnaJ homolog subfamily C member 13, Vesicle-associated membrane protein 7","Transient genes: unique stress response"
"3","Day7, Day21","protein transport",3,"Sorting nexin-17, Sorting nexin-8, TBC1 domain family member 25","Transient genes: consistantly induced by stress"
"4","Day7","vesicle-mediated transport",3,"Copine-3, DnaJ homolog subfamily C member 13, Vesicle-associated membrane protein 7","Transient genes: unique stress response"
"5","Day14","immune system process",4,"Cullin-associated NEDD8-dissociated protein 1, Phosphoglucomutase-2, Ras-related C3 botulinum toxin substrate 1, Stimulator of interferon genes protein","Transient genes: ambient recovery = preparatory regulation?"
"6","Day7, Day14","immune system process",5,"26S proteasome non-ATPase regulatory subunit 3, ATP-dependent RNA helicase DDX3X, Chitotriosidase-1, Erythrocyte band 7 integral membrane protein, Receptor-type tyrosine-protein phosphatase eta","Transient genes: stress_2 + ambient recovery - frontload?"
"7","Day7","protein transport",5,"[Protein ADP-ribosylarginine] hydrolase, Cation-dependent mannose-6-phosphate receptor, Mitochondrial import inner membrane translocase subunit Tim23, Spermatogenesis-defective protein 39 homolog, Synergin gamma","Transient genes: unique stress response"
"8","Day7, Day14","vesicle-mediated transport",5,"26S proteasome non-ATPase regulatory subunit 3, ATP-dependent RNA helicase DDX3X, Chitotriosidase-1, Erythrocyte band 7 integral membrane protein, Receptor-type tyrosine-protein phosphatase eta","Transient genes: stress_2 + ambient recovery - frontload?"
"9","Day14","lipid metabolic process",7,"Cytochrome P450 3A4, Erlin-2-B, NPC intracellular cholesterol transporter 1, Serum paraoxonase/arylesterase 1, Sphingomyelin phosphodiesterase, Vigilin, NPC intracellular cholesterol transporter 2","Transient genes: ambient recovery = preparatory regulation?"
"10","Day14","small molecule metabolic process",7,"Cytochrome P450 3A4, Erlin-2-B, NPC intracellular cholesterol transporter 1, Serum paraoxonase/arylesterase 1, Sphingomyelin phosphodiesterase, Vigilin, NPC intracellular cholesterol transporter 2","Transient genes: ambient recovery = preparatory regulation?"
