"","slim_term","slim_cat","category","Gene.Count","GO.Count","module_day"
"1","ion binding","GO:0043167","GO:0000287",20,7,"Day14_black"
"2","oxidoreductase activity","GO:0016491","GO:0000293",21,16,"Day14_black"
"3","methyltransferase activity","GO:0008168","GO:0000773",6,9,"Day14_black"
"4","RNA binding","GO:0003723","GO:0003730",5,4,"Day14_black"
"5","kinase activity","GO:0016301","GO:0003872",4,4,"Day14_black"
"6","isomerase activity","GO:0016853","GO:0004347",3,3,"Day14_black"
"7","transferase activity, transferring ...","GO:0016757","GO:0004422",4,6,"Day14_black"
"8","transmembrane transporter activity","GO:0022857","GO:0005220",11,8,"Day14_black"
"9","DNA binding","GO:0003677","GO:0031492",2,3,"Day14_black"
"10","hydrolase activity, acting on glyco...","GO:0016798","GO:0033919",2,3,"Day14_black"
"11","lipid binding","GO:0008289","GO:0070538",1,3,"Day14_black"
