name	term	lev	seq	value
"cytoskeleton"	GO:0005856;GO:0043232;GO:0016607;GO:0016604;GO:0030027;GO:0120025;GO:0030175;GO:0098858	1	PGEN_.00g238430	-1.03978160621539
"dendrite"	GO:0030425	1	PGEN_.00g279590	3.45960927912626
"dendrite"	GO:0030425	1	PGEN_.00g344990	4.14385743083641
"endoplasmic reticulum"	GO:0005783	1	PGEN_.00g044960	3.28233445305782
"endoplasmic reticulum"	GO:0005783	1	PGEN_.00g084780	2.74679719398583
"endoplasmic reticulum"	GO:0005783	1	PGEN_.00g093880	4.18221052575738
"endoplasmic reticulum"	GO:0005783	1	PGEN_.00g279590	3.45960927912626
"cytoplasmic vesicle membrane"	GO:0009986;GO:0031092;GO:0030667;GO:0030659;GO:0012506;GO:0031225	3	PGEN_.00g040970	3.77110843903446
"cytoplasmic vesicle membrane"	GO:0009986;GO:0031092;GO:0030667;GO:0030659;GO:0012506;GO:0031225	3	PGEN_.00g086610	3.08527452940315
"cytoplasmic vesicle membrane"	GO:0009986;GO:0031092;GO:0030667;GO:0030659;GO:0012506;GO:0031225	3	PGEN_.00g088220	-4.68125864038876
"cytoplasmic vesicle membrane"	GO:0009986;GO:0031092;GO:0030667;GO:0030659;GO:0012506;GO:0031225	3	PGEN_.00g092260	-11.6415014540936
"cytoplasmic vesicle membrane"	GO:0009986;GO:0031092;GO:0030667;GO:0030659;GO:0012506;GO:0031225	3	PGEN_.00g092270	-6.07250865590374
"cytoplasmic vesicle membrane"	GO:0009986;GO:0031092;GO:0030667;GO:0030659;GO:0012506;GO:0031225	3	PGEN_.00g205860	3.53687840342772
"basolateral plasma membrane"	GO:0016323	1	PGEN_.00g044960	3.28233445305782
"endosome membrane"	GO:0010008	1	PGEN_.00g040970	3.77110843903446
"Golgi apparatus"	GO:0005794	1	PGEN_.00g044960	3.28233445305782
"Golgi apparatus"	GO:0005794	1	PGEN_.00g093880	4.18221052575738
"Golgi apparatus"	GO:0005794	1	PGEN_.00g215190	-1.31923684327079
"Golgi apparatus"	GO:0005794	1	PGEN_.00g238430	-1.03978160621539
"axon"	GO:0030424	1	PGEN_.00g055380	-1.39393215986
"axon"	GO:0030424	1	PGEN_.00g344990	4.14385743083641
"collagen trimer"	GO:0005581	2	PGEN_.00g116150	3.55770407266274
"collagen trimer"	GO:0005581	2	PGEN_.00g211040	4.31113945646865
"collagen trimer"	GO:0005581	2	PGEN_.00g211250	3.25945152608481
"collagen trimer"	GO:0005581	2	PGEN_.00g328190	3.02402308974011
"meprin A complex"	GO:0017090;GO:0098796	1	PGEN_.00g164540	3.72708948040961
"meprin A complex"	GO:0017090;GO:0098796	1	PGEN_.00g164660	3.91733279432933
"nucleoplasm"	GO:0005654	1	PGEN_.00g180630	1.85070361241376
"nucleoplasm"	GO:0005654	1	PGEN_.00g215190	-1.31923684327079
""	GO:0098588		PGEN_.00g040970	3.77110843903446
""	GO:0098588		PGEN_.00g205860	3.53687840342772
""	GO:0098588		PGEN_.00g215190	-1.31923684327079
"Cul3-RING ubiquitin ligase complex"	GO:0005912;GO:0030057;GO:0031463;GO:0031461;GO:0000151	2	PGEN_.00g055380	-1.39393215986
"endocytic vesicle membrane"	GO:0009897;GO:0098552;GO:0019898;GO:0030658;GO:0030670;GO:0030666	4	PGEN_.00g205860	3.53687840342772
"cytoplasmic vesicle"	GO:0031410	1	PGEN_.00g035820	3.02956742887579
"cytoplasmic vesicle"	GO:0031410	1	PGEN_.00g078840	4.91637724090334
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975;GO:0005789	2	PGEN_.00g084780	2.74679719398583
"late endosome"	GO:0005770;GO:0005768	2	PGEN_.00g035820	3.02956742887579
""	GO:0098590		PGEN_.00g044960	3.28233445305782
""	GO:0098590		PGEN_.00g188250	2.90489739685297
""	GO:0098590		PGEN_.00g348040	4.0734759320991
"basement membrane"	GO:0005604;GO:0062023;GO:0005938;GO:0032154	1	PGEN_.00g348040	4.0734759320991
"Golgi lumen"	GO:0005796;GO:0043233;GO:0070013;GO:0016324;GO:0031982;GO:0043227	1	PGEN_.00g188250	2.90489739685297
""	GO:0097708		PGEN_.00g078840	4.91637724090334
"cell-cell junction"	GO:0005911	1	PGEN_.00g055380	-1.39393215986
"cell-cell junction"	GO:0005911	1	PGEN_.00g215970	-1.25791769663445
""	GO:0043005		PGEN_.00g055380	-1.39393215986
""	GO:0043005		PGEN_.00g279590	3.45960927912626
""	GO:0043005		PGEN_.00g344990	4.14385743083641
"cytosolic ribosome"	GO:0022626;GO:0005840	1	PGEN_.00g279590	3.45960927912626
"nucleus"	GO:0005634	1	PGEN_.00g122110	2.31917232164453
"nucleus"	GO:0005634	1	PGEN_.00g238430	-1.03978160621539
"nucleus"	GO:0005634	1	PGEN_.00g332980	4.29712444465146
"growth cone"	GO:0030426;GO:0030427	1	PGEN_.00g238060	2.71773843829607
"trans-Golgi network"	GO:0005802;GO:0098791	1	PGEN_.00g085790	3.75890567805423
"obsolete cell"	GO:0005623	-1	PGEN_.00g078840	4.91637724090334
"obsolete cell"	GO:0005623	-1	PGEN_.00g180630	1.85070361241376
"obsolete cell"	GO:0005623	-1	PGEN_.00g211040	4.31113945646865
"obsolete cell"	GO:0005623	-1	PGEN_.00g211250	3.25945152608481
"obsolete cell"	GO:0005623	-1	PGEN_.00g328190	3.02402308974011
"mitochondrion"	GO:0005739;GO:0005777;GO:0042579	1	PGEN_.00g189040	2.67327246102958
"lysosome"	GO:0005764;GO:0000323;GO:0005773	2	PGEN_.00g035820	3.02956742887579
"lysosome"	GO:0005764;GO:0000323;GO:0005773	2	PGEN_.00g169480	3.5034660437272
"Golgi membrane"	GO:0000139	1	PGEN_.00g215190	-1.31923684327079
"SCAR complex"	GO:0031209	2	PGEN_.00g082950	-2.18180257957352
"cell junction"	GO:0030054	1	PGEN_.00g093880	4.18221052575738
"cell junction"	GO:0030054	1	PGEN_.00g258930	-8.23704321979617
"cell junction"	GO:0030054	1	PGEN_.00g348040	4.0734759320991
"muscle myosin complex"	GO:0000794;GO:0000228;GO:0000793;GO:0005694;GO:0005859;GO:0016460;GO:0016459;GO:0005865;GO:0036379;GO:0030016;GO:0043292;GO:0030017;GO:0030018;GO:0031430;GO:0031672;GO:0031674	3	PGEN_.00g066340	3.95218770279158
""	GO:0070161		PGEN_.00g215970	-1.25791769663445
