"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
10 0.0552621859988771 2 10 "GO:0005581" "collagen trimer" 0.207233197495789
-18 0.00282473766564905 1 6 "GO:0005654" "nucleoplasm" 0.0423710649847358
-10 0.19687074829932 1 4 "GO:0005739" "mitochondrion" 0.421865889212829
17 0.010659582982129 2 5 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 0.0799468723659675
12 0.104248507913804 1 5 "GO:0005783" "endoplasmic reticulum" 0.312745523741412
5 0.553773509403762 2 4 "GO:0005887;GO:0031226" "integral component of plasma membrane" 0.720948379351741
-11 0.13576920129754 1 5 "GO:0009986" "cell surface" 0.33942300324385
-16 0.0370228091236495 1 4 "GO:0016604" "nuclear body" 0.185114045618247
-2 0.826162464985994 1 4 "GO:0019898" "extrinsic component of membrane" 0.885174069627851
-8 0.256287195729355 2 5 "GO:0030659;GO:0012506" "cytoplasmic vesicle membrane" 0.456927295535338
-7 0.274156377321203 1 7 "GO:0031090" "organelle membrane" 0.456927295535338
0 0.963284888423455 NA 5 "GO:0043005" "" 0.963284888423455
5 0.576758703481393 NA 4 "GO:0043232" "" 0.720948379351741
-6 0.445386154461785 NA 4 "GO:0043233;GO:0070013" "" 0.668079231692677
3 0.700782440635829 NA 5 "GO:0098590" "" 0.808595123810572
