"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-11 0.4 1 1 "GO:0000139" "Golgi membrane" 0.977845683728037
11 0.4 3 1 "GO:0000794;GO:0000228;GO:0000793;GO:0005694;GO:0005859;GO:0016460;GO:0016459;GO:0005865;GO:0036379;GO:0030016;GO:0043292;GO:0030017;GO:0030018;GO:0031430;GO:0031672;GO:0031674" "muscle myosin complex" 0.977845683728037
6 0.300572956455309 2 4 "GO:0005581" "collagen trimer" 0.977845683728037
12 0.342857142857143 1 1 "GO:0005604;GO:0062023;GO:0005938;GO:0032154" "basement membrane" 0.977845683728037
6 0.277354050124449 -1 5 "GO:0005623" "obsolete cell" 0.977845683728037
0 0.977845683728037 1 3 "GO:0005634" "nucleus" 0.977845683728037
-4 0.8 2 1 "GO:0005635;GO:0031967;GO:0031975;GO:0005789" "nuclear envelope" 0.977845683728037
-10 0.215126050420168 1 2 "GO:0005654" "nucleoplasm" 0.977845683728037
-6 0.685714285714286 1 1 "GO:0005739;GO:0005777;GO:0042579" "mitochondrion" 0.977845683728037
2 0.860504201680672 2 2 "GO:0005764;GO:0000323;GO:0005773" "lysosome" 0.977845683728037
-1 0.971428571428572 2 1 "GO:0005770;GO:0005768" "late endosome" 0.977845683728037
4 0.467112299465241 1 4 "GO:0005783" "endoplasmic reticulum" 0.977845683728037
-1 0.861153552330023 1 4 "GO:0005794" "Golgi apparatus" 0.977845683728037
-3 0.857142857142857 1 1 "GO:0005796;GO:0043233;GO:0070013;GO:0016324;GO:0031982;GO:0043227" "Golgi lumen" 0.977845683728037
8 0.571428571428572 1 1 "GO:0005802;GO:0098791" "trans-Golgi network" 0.977845683728037
-9 0.514285714285714 1 1 "GO:0005856;GO:0043232;GO:0016607;GO:0016604;GO:0030027;GO:0120025;GO:0030175;GO:0098858" "cytoskeleton" 0.977845683728037
-12 0.141176470588235 1 2 "GO:0005911" "cell-cell junction" 0.977845683728037
-12 0.342857142857143 2 1 "GO:0005912;GO:0030057;GO:0031463;GO:0031461;GO:0000151" "Cul3-RING ubiquitin ligase complex" 0.977845683728037
5 0.742857142857143 4 1 "GO:0009897;GO:0098552;GO:0019898;GO:0030658;GO:0030670;GO:0030666" "endocytic vesicle membrane" 0.977845683728037
-6 0.172401981320387 3 6 "GO:0009986;GO:0031092;GO:0030667;GO:0030659;GO:0012506;GO:0031225" "cytoplasmic vesicle membrane" 0.977845683728037
9 0.514285714285714 1 1 "GO:0010008" "endosome membrane" 0.977845683728037
2 0.914285714285714 1 1 "GO:0016323" "basolateral plasma membrane" 0.977845683728037
9 0.272268907563025 1 2 "GO:0017090;GO:0098796" "meprin A complex" 0.977845683728037
3 0.857142857142857 1 1 "GO:0022626;GO:0005840" "cytosolic ribosome" 0.977845683728037
4 0.594957983193277 1 3 "GO:0030054" "cell junction" 0.977845683728037
1 0.971428571428571 1 2 "GO:0030424" "axon" 0.977845683728037
8 0.302521008403361 1 2 "GO:0030425" "dendrite" 0.977845683728037
-5 0.742857142857143 1 1 "GO:0030426;GO:0030427" "growth cone" 0.977845683728037
-13 0.285714285714286 2 1 "GO:0031209" "SCAR complex" 0.977845683728037
8 0.302521008403361 1 2 "GO:0031410" "cytoplasmic vesicle" 0.977845683728037
1 0.846142093200917 NA 3 "GO:0043005" "" 0.977845683728037
-10 0.457142857142857 NA 1 "GO:0070161" "" 0.977845683728037
18 0.0571428571428571 NA 1 "GO:0097708" "" 0.977845683728037
1 0.889839572192514 NA 3 "GO:0098588" "" 0.977845683728037
4 0.555844155844156 NA 3 "GO:0098590" "" 0.977845683728037
