name	term	lev	seq	value
"vesicle-mediated transport"	GO:0016192	2	PGEN_.00g009930	5.18124912079485
"vesicle-mediated transport"	GO:0016192	2	PGEN_.00g009950	6.54500082999707
"vesicle-mediated transport"	GO:0016192	2	PGEN_.00g056330	4.50971569527478
"vesicle-mediated transport"	GO:0016192	2	PGEN_.00g062920	1.58482251560663
"vesicle-mediated transport"	GO:0016192	2	PGEN_.00g087530	6.17775366242999
"vesicle-mediated transport"	GO:0016192	2	PGEN_.00g091340	4.68151338156612
"vesicle-mediated transport"	GO:0016192	2	PGEN_.00g205400	2.38086998180682
"vesicle-mediated transport"	GO:0016192	2	PGEN_.00g229320	-3.5152002173414
"vesicle-mediated transport"	GO:0016192	2	PGEN_.00g229340	-2.91815345104484
"vesicle-mediated transport"	GO:0016192	2	PGEN_.00g247310	4.33028974517686
"vesicle-mediated transport"	GO:0016192	2	PGEN_.00g256190	3.57595414261971
"vesicle-mediated transport"	GO:0016192	2	PGEN_.00g281170	6.3589925330873
"vesicle-mediated transport"	GO:0016192	2	PGEN_.00g282910	1.95598493493693
"vesicle-mediated transport"	GO:0016192	2	PGEN_.00g288000	3.38345717026529
"vesicle-mediated transport"	GO:0016192	2	PGEN_.00g299380	-2.35584949779917
"vesicle-mediated transport"	GO:0016192	2	PGEN_.00g305960	2.89363907103167
"vesicle-mediated transport"	GO:0016192	2	PGEN_.00g344990	6.88560548165566
"aminoglycan metabolic process"	GO:0006022	1	PGEN_.00g036450	3.76269963213679
"aminoglycan metabolic process"	GO:0006022	1	PGEN_.00g040990	6.35989876931627
"aminoglycan metabolic process"	GO:0006022	1	PGEN_.00g057120	4.69842361033901
"aminoglycan metabolic process"	GO:0006022	1	PGEN_.00g057130	4.36037293412942
"aminoglycan metabolic process"	GO:0006022	1	PGEN_.00g130730	8.35308710317702
"aminoglycan metabolic process"	GO:0006022	1	PGEN_.00g157320	-4.19585285102914
"aminoglycan metabolic process"	GO:0006022	1	PGEN_.00g169480	5.19765614946527
"aminoglycan metabolic process"	GO:0006022	1	PGEN_.00g169490	4.97989107368819
"aminoglycan metabolic process"	GO:0006022	1	PGEN_.00g276360	4.34356907999148
"aminoglycan metabolic process"	GO:0006022	1	PGEN_.00g283950	-4.66931616373474
"aminoglycan metabolic process"	GO:0006022	1	PGEN_.00g318440	4.78189018474997
"sodium ion transport"	GO:0006814;GO:0015672	4	PGEN_.00g031270	-1.73393367121437
"sodium ion transport"	GO:0006814;GO:0015672	4	PGEN_.00g047650	-1.45705447763384
"sodium ion transport"	GO:0006814;GO:0015672	4	PGEN_.00g103630	3.8209662792583
"sodium ion transport"	GO:0006814;GO:0015672	4	PGEN_.00g328490	-4.99516538587071
"sodium ion transport"	GO:0006814;GO:0015672	4	PGEN_.00g336000	-3.04168756361515
"lipid transport"	GO:0006869	1	PGEN_.00g013160	6.66747201609818
"lipid transport"	GO:0006869	1	PGEN_.00g013170	9.25004587843393
"lipid transport"	GO:0006869	1	PGEN_.00g014740	5.88712910098703
"lipid transport"	GO:0006869	1	PGEN_.00g019450	3.89004669416076
"lipid transport"	GO:0006869	1	PGEN_.00g035810	5.67523371894232
"lipid transport"	GO:0006869	1	PGEN_.00g135000	1.57657523009256
"lipid transport"	GO:0006869	1	PGEN_.00g143180	5.29149971386396
"lipid transport"	GO:0006869	1	PGEN_.00g150640	1.78355619676878
"lipid transport"	GO:0006869	1	PGEN_.00g177440	3.10936675087435
"lipid transport"	GO:0006869	1	PGEN_.00g279590	4.83152174187
"metabolic process"	GO:0008152	1	PGEN_.00g040690	6.06774957840857
"metabolic process"	GO:0008152	1	PGEN_.00g062970	5.06223613960154
"metabolic process"	GO:0008152	1	PGEN_.00g074890	3.14459363061678
