"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-36 0.0436361688543338 2 10 "GO:0000122;GO:0006357;GO:0045892" "regulation of transcription by RNA polymerase II" 0.33033386331399
-5 0.823892208174892 2 6 "GO:0000272;GO:0005976;GO:0006032;GO:0006030;GO:1901072" "chitin metabolic process" 0.937197612231145
-6 0.694173232288461 1 12 "GO:0001525;GO:0048646" "angiogenesis" 0.895585046808205
32 0.0899967052960231 2 9 "GO:0001932;GO:0031399;GO:0032269;GO:0031324" "regulation of protein modification process" 0.357648549160114
6 0.718436356230758 1 13 "GO:0002376" "immune system process" 0.895585046808205
3 0.89968567623353 1 7 "GO:0002576;GO:0045055;GO:0051649" "" 0.960891711262542
-46 0.0304641209044306 3 7 "GO:0003002;GO:0007389" "pattern specification process" 0.280555031805943
36 0.153935023969166 1 5 "GO:0003429;GO:0003414;GO:0003422" "growth plate cartilage chondrocyte morphogenesis" 0.411995252360492
11 0.46251547958221 1 14 "GO:0005975" "carbohydrate metabolic process" 0.701481810699685
18 0.2882529878159 1 11 "GO:0006022" "aminoglycan metabolic process" 0.526324287058761
-42 0.00975881720529864 1 12 "GO:0006355" "regulation of transcription, DNA-templated" 0.161378951275207
-14 0.380020081522535 1 13 "GO:0006464" "cellular protein modification process" 0.614926964344538
22 0.144870131967079 1 15 "GO:0006508;GO:0019538" "protein metabolic process" 0.411974437781381
6 0.811104230020049 1 5 "GO:0006518" "peptide metabolic process" 0.937197612231145
36 0.0565768519402553 1 9 "GO:0006629" "lipid metabolic process" 0.33033386331399
15 0.51893122528394 1 6 "GO:0006665;GO:0006643" "membrane lipid metabolic process" 0.768849873351092
3 0.908143809884762 1 5 "GO:0006790" "sulfur compound metabolic process" 0.960891711262542
3 0.877318508266048 1 8 "GO:0006796;GO:0006793" "phosphate-containing compound metabolic process" 0.960891711262542
-48 0.00114052492519848 1 15 "GO:0006811" "ion transport" 0.0518938840965308
-63 0.0122313810905266 4 5 "GO:0006814;GO:0015672" "sodium ion transport" 0.161378951275207
31 0.0818774948776033 1 10 "GO:0006869" "lipid transport" 0.357648549160114
-15 0.552924434060166 2 5 "GO:0006886" "intracellular protein transport" 0.786189429679299
-21 0.236196854656199 2 10 "GO:0006897" "endocytosis" 0.470352531404948
-18 0.385174032611414 3 7 "GO:0006898" "receptor-mediated endocytosis" 0.614926964344538
-38 0.125298588394799 3 5 "GO:0006915;GO:0012501;GO:0008219" "programmed cell death" 0.380072384797557
22 0.110806837384738 1 17 "GO:0006950" "response to stress" 0.36497874045164
41 0.069634519578132 2 6 "GO:0006954;GO:0006952" "defense response" 0.333512699032106
22 0.279881514765132 2 8 "GO:0006955" "immune response" 0.526324287058761
15 0.523831781843601 1 6 "GO:0006979" "response to oxidative stress" 0.768849873351092
-26 0.124426704722798 1 11 "GO:0006996" "organelle organization" 0.380072384797557
-23 0.321193644083248 1 6 "GO:0007009;GO:0061024" "" 0.561215640574417
-10 0.648103014315211 1 6 "GO:0007157" "heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules" 0.88025931795051
49 0.0479348584261807 3 5 "GO:0007160;GO:0031589" "cell-substrate adhesion" 0.33033386331399
-11 0.442959193151214 2 16 "GO:0007165;GO:0007166" "signal transduction" 0.683208247063737
-31 0.168592312904837 4 6 "GO:0007169;GO:0007167" "enzyme linked receptor protein signaling pathway" 0.411995252360492
-32 0.159452231085402 4 6 "GO:0007219" "Notch signaling pathway" 0.411995252360492
33 0.184551109445924 1 5 "GO:0007417" "central nervous system development" 0.411995252360492
-31 0.210315343311537 1 5 "GO:0007507" "heart development" 0.44508595910116
-2 0.953995498529738 1 5 "GO:0007601;GO:0050953" "visual perception" 0.960891711262542
-51 0.0070330501861619 1 9 "GO:0007605;GO:0050954" "sensory perception of sound" 0.161378951275207
1 0.960891711262542 1 6 "GO:0007610" "behavior" 0.960891711262542
6 0.823909988774633 1 5 "GO:0008152" "metabolic process" 0.937197612231145
47 0.0383803454515899 2 6 "GO:0008203;GO:0016125;GO:1902652;GO:0008202" "cholesterol metabolic process" 0.317510130554062
-18 0.40462692134667 2 7 "GO:0008283" "cell population proliferation" 0.634845686940465
-9 0.689756883675204 1 7 "GO:0008284;GO:0042127;GO:0048522" "" 0.895585046808205
26 0.185624234580002 1 8 "GO:0009057;GO:0006026" "macromolecule catabolic process" 0.411995252360492
-2 0.927766065325093 2 5 "GO:0009063;GO:0006520" "cellular amino acid catabolic process" 0.960891711262542
41 0.069634519578132 1 6 "GO:0009617;GO:0051707" "response to bacterium" 0.333512699032106
-57 0.0118744739089035 1 6 "GO:0009628" "response to abiotic stimulus" 0.161378951275207
-5 0.80095074481023 2 7 "GO:0009653" "anatomical structure morphogenesis" 0.937197612231145
-1 0.960561768985319 3 5 "GO:0009887" "animal organ morphogenesis" 0.960891711262542
21 0.103463290437866 1 21 "GO:0009892;GO:0019222" "regulation of metabolic process" 0.36497874045164
15 0.552924434060166 1 5 "GO:0009966;GO:0010646;GO:0023051" "regulation of signal transduction" 0.786189429679299
-25 0.175784893062361 1 9 "GO:0010033;GO:1901700" "" 0.411995252360492
25 0.129558257334366 3 12 "GO:0010629;GO:0010605" "negative regulation of gene expression" 0.38031617475572
-42 0.0943248920861839 1 5 "GO:0014070;GO:0009605" "response to organic cyclic compound" 0.357648549160114
-40 0.0238339500779476 1 10 "GO:0015031;GO:0015833" "protein transport" 0.271111182136654
-19 0.17805536509672 1 16 "GO:0016043" "cellular component organization" 0.411995252360492
21 0.326861856598287 1 7 "GO:0016052" "carbohydrate catabolic process" 0.561215640574417
2 0.871488009149715 2 17 "GO:0016192" "vesicle-mediated transport" 0.960891711262542
34 0.111894141555092 2 7 "GO:0016485" "protein processing" 0.36497874045164
25 0.177774959479097 3 9 "GO:0017015;GO:0001933;GO:0031400;GO:0042326;GO:0001942;GO:0022405;GO:0022404;GO:0010839;GO:0010837;GO:0050680;GO:0030512" "hair cycle process" 0.411995252360492
-5 0.774467507776247 1 10 "GO:0019752" "carboxylic acid metabolic process" 0.937197612231145
-28 0.255405102603749 1 5 "GO:0022414" "reproductive process" 0.494507751849812
-62 0.000274993533925672 3 11 "GO:0030001;GO:0006812" "metal ion transport" 0.0250244115872361
-24 0.289189168713605 3 6 "GO:0030036;GO:0007010;GO:0030029" "actin filament-based process" 0.526324287058761
-22 0.112301150908197 1 18 "GO:0030154" "cell differentiation" 0.36497874045164
7 0.785647007161049 1 5 "GO:0030155" "regulation of cell adhesion" 0.937197612231145
31 0.0617107217179981 1 12 "GO:0030198;GO:0043062" "extracellular matrix organization" 0.33033386331399
28 0.217423159505152 1 6 "GO:0030203;GO:0009059" "glycosaminoglycan metabolic process" 0.449670625340201
7 0.710530754144217 1 8 "GO:0030334" "regulation of cell migration" 0.895585046808205
8 0.754147939014481 1 5 "GO:0030335" "positive regulation of cell migration" 0.92739814122051
-47 0.060237912372586 1 5 "GO:0030510" "regulation of BMP signaling pathway" 0.33033386331399
-10 0.698498850204019 1 5 "GO:0031099" "regeneration" 0.895585046808205
25 0.149746621535039 1 11 "GO:0031323;GO:0032268" "regulation of cellular metabolic process" 0.411995252360492
54 0.0308302232753784 2 5 "GO:0031638" "zymogen activation" 0.280555031805943
47 0.0580220785836883 1 5 "GO:0032365" "intracellular lipid transport" 0.33033386331399
-13 0.378199972204425 1 16 "GO:0032502" "developmental process" 0.614926964344538
-12 0.626793520185536 1 5 "GO:0032787" "monocarboxylic acid metabolic process" 0.864215308134603
32 0.19856015596187 1 5 "GO:0032940" "secretion by cell" 0.430213671250718
-27 0.237760620270633 NA 6 "GO:0033993" "" 0.470352531404948
-12 0.626793520185536 NA 5 "GO:0044238" "" 0.864215308134603
-53 0.0124137654827082 NA 7 "GO:0046907" "" 0.161378951275207
-2 0.905573723914541 NA 11 "GO:0048513" "" 0.960891711262542
17 0.384092524081985 NA 8 "GO:0048731" "" 0.614926964344538
-1 0.929593054209605 NA 21 "GO:0048856" "" 0.960891711262542
-34 0.092003007179935 NA 8 "GO:0048869" "" 0.357648549160114
-42 0.089557499879417 NA 5 "GO:0065008" "" 0.357648549160114
5 0.856122947882622 NA 5 "GO:0071702" "" 0.960891711262542
-7 0.700208280653344 NA 9 "GO:0090101" "" 0.895585046808205
-20 0.319643996718025 NA 8 "GO:0098742;GO:0007156" "" 0.561215640574417
