"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-10 0.20798125186658 1 7 "GO:0000166;GO:0035639;GO:0032555;GO:0017076;GO:0032553" "nucleotide binding" 0.615291337734374
10 0.143293331358104 2 10 "GO:0004252;GO:0004175;GO:0008236;GO:0017171" "endopeptidase activity" 0.615291337734374
-3 0.721117765367934 2 5 "GO:0004866;GO:0030414;GO:0004857" "endopeptidase inhibitor activity" 0.768453675921079
6 0.467691778959236 1 5 "GO:0005215" "transporter activity" 0.615437497950798
-7 0.291820961892953 2 9 "GO:0005515" "protein binding" 0.615291337734374
-7 0.335613456946022 1 7 "GO:0008270" "zinc ion binding" 0.615291337734374
6 0.465336885754425 2 7 "GO:0008289" "lipid binding" 0.615437497950798
-10 0.273291397400616 4 5 "GO:0016616;GO:0016614" "oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor" 0.615291337734374
-2 0.768453675921079 2 9 "GO:0016740" "transferase activity" 0.768453675921079
-5 0.503539771050653 1 8 "GO:0030234" "enzyme regulator activity" 0.615437497950798
17 0.0216718029931704 2 7 "GO:0030246" "carbohydrate binding" 0.238389832924874
