name	term	lev	seq	value
""	GO:0043232		PGEN_.00g013400	-1.55788426600256
""	GO:0043232		PGEN_.00g059780	-2.75790758699217
""	GO:0043232		PGEN_.00g062480	10.4002377448566
""	GO:0043232		PGEN_.00g263590	9.49485984493415
"endoplasmic reticulum"	GO:0005783	1	PGEN_.00g013160	10.758166994253
"endoplasmic reticulum"	GO:0005783	1	PGEN_.00g013170	9.98601051291368
"endoplasmic reticulum"	GO:0005783	1	PGEN_.00g094980	3.94349688100487
"endoplasmic reticulum"	GO:0005783	1	PGEN_.00g199810	6.03848969028736
"endoplasmic reticulum"	GO:0005783	1	PGEN_.00g279590	8.32596399417674
"cytoplasmic vesicle membrane"	GO:0030659;GO:0012506	2	PGEN_.00g050250	5.33231459979733
"cytoplasmic vesicle membrane"	GO:0030659;GO:0012506	2	PGEN_.00g087530	8.95707643349839
"cytoplasmic vesicle membrane"	GO:0030659;GO:0012506	2	PGEN_.00g092260	-10.9736475060508
"cytoplasmic vesicle membrane"	GO:0030659;GO:0012506	2	PGEN_.00g092270	-9.11266899362064
"cytoplasmic vesicle membrane"	GO:0030659;GO:0012506	2	PGEN_.00g205860	5.5914530055713
"mitochondrion"	GO:0005739	1	PGEN_.00g156260	5.77473444273273
"mitochondrion"	GO:0005739	1	PGEN_.00g169820	-6.10805916020253
"mitochondrion"	GO:0005739	1	PGEN_.00g230540	-11.432160413388
"mitochondrion"	GO:0005739	1	PGEN_.00g327850	7.22087353920753
"nuclear body"	GO:0016604	1	PGEN_.00g050250	5.33231459979733
"nuclear body"	GO:0016604	1	PGEN_.00g212310	-3.65187838827288
"nuclear body"	GO:0016604	1	PGEN_.00g254260	-6.36714834582748
"nuclear body"	GO:0016604	1	PGEN_.00g303310	-2.44255797882371
"organelle membrane"	GO:0031090	1	PGEN_.00g050250	5.33231459979733
"organelle membrane"	GO:0031090	1	PGEN_.00g087530	8.95707643349839
"organelle membrane"	GO:0031090	1	PGEN_.00g092260	-10.9736475060508
"organelle membrane"	GO:0031090	1	PGEN_.00g092270	-9.11266899362064
"organelle membrane"	GO:0031090	1	PGEN_.00g108630	-23.0278460518233
"organelle membrane"	GO:0031090	1	PGEN_.00g205860	5.5914530055713
