"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105317810","crg04144","Endocytosis","105317810/105318103/105342074/105326718/105347356/105321017/105339958/105345550/105333773/109619106/105344087/105327720/105325897/105318650/105347007/105340059/105333224/105342447/105331606/105335021/105322050/105327432/105334890/105328080/105339937/105342876/105337930/105337075/105342463/105334470/105334311",31,"105317810","AP-2 complex subunit sigma isoform X1"
"2","crg:105318103","crg04144","Endocytosis","105317810/105318103/105342074/105326718/105347356/105321017/105339958/105345550/105333773/109619106/105344087/105327720/105325897/105318650/105347007/105340059/105333224/105342447/105331606/105335021/105322050/105327432/105334890/105328080/105339937/105342876/105337930/105337075/105342463/105334470/105334311",31,"105318103","cdc42 homolog"
"3","crg:105318218","crg04142","Lysosome","105340690/105319353/105347059/105328336/105323790/105339958/105340763/105329422/105326821/105331657/105335927/105331028/105340059/105318218/105339566/105338718/105334333/105340049/105328916/105341804/105342463/105344064/105320698/105338683/105331760",25,"105318218","V-type proton ATPase subunit d-like"
"4","crg:105318650","crg04144","Endocytosis","105317810/105318103/105342074/105326718/105347356/105321017/105339958/105345550/105333773/109619106/105344087/105327720/105325897/105318650/105347007/105340059/105333224/105342447/105331606/105335021/105322050/105327432/105334890/105328080/105339937/105342876/105337930/105337075/105342463/105334470/105334311",31,"105318650","vacuolar protein sorting-associated protein 29"
"5","crg:105319102","crg00071","Fatty acid degradation","105319102/105336470/105348652/105333437/105346656/105335622/105333323/105342925/105326193/105321895/105339789",11,"105319102","carnitine O-palmitoyltransferase 1, liver isoform isoform X1"
"6","crg:105319102","crg01212","Fatty acid metabolism","105339056/105319102/105348652/105333437/105346656/105341564/105342284/105333323/105342925/105330728/105340049/105321895/105339789",13,"105319102","carnitine O-palmitoyltransferase 1, liver isoform isoform X1"
"7","crg:105319353","crg04142","Lysosome","105340690/105319353/105347059/105328336/105323790/105339958/105340763/105329422/105326821/105331657/105335927/105331028/105340059/105318218/105339566/105338718/105334333/105340049/105328916/105341804/105342463/105344064/105320698/105338683/105331760",25,"105319353","legumain-like"
"8","crg:105320492","crg04146","Peroxisome","105339056/105342001/105339902/105320852/105320492/105338951/105346656/105329358/105330227/105336995/105324179/105342925/105325406/105325181/105339789",15,"105320492","xanthine dehydrogenase/oxidase"
"9","crg:105320698","crg04142","Lysosome","105340690/105319353/105347059/105328336/105323790/105339958/105340763/105329422/105326821/105331657/105335927/105331028/105340059/105318218/105339566/105338718/105334333/105340049/105328916/105341804/105342463/105344064/105320698/105338683/105331760",25,"105320698","ganglioside GM2 activator"
"10","crg:105320852","crg04146","Peroxisome","105339056/105342001/105339902/105320852/105320492/105338951/105346656/105329358/105330227/105336995/105324179/105342925/105325406/105325181/105339789",15,"105320852","xanthine dehydrogenase/oxidase"
"11","crg:105321017","crg04144","Endocytosis","105317810/105318103/105342074/105326718/105347356/105321017/105339958/105345550/105333773/109619106/105344087/105327720/105325897/105318650/105347007/105340059/105333224/105342447/105331606/105335021/105322050/105327432/105334890/105328080/105339937/105342876/105337930/105337075/105342463/105334470/105334311",31,"105321017","actin-related protein 2/3 complex subunit 1A"
