"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105317044","crg01200","Carbon metabolism","105336766/105348957/105341094/105336470/105322313/105332143/105332278/105332291/105322747/105322129/105325247/105328457/105330479/105346675/105319941/105323703/105347640/105328869/105320092/105337089/105343391/105330927/105331349/105341248/105331916/105340512/105328152/105317044",28,"105317044","cytoplasmic aconitate hydratase isoform X1"
"2","crg:105317174","crg04068","FoxO signaling pathway","105335251/105343370/105329475/105346262/105318783/105328278/105334418/105341494/105331926/105320040/105326051/105339480/105317174/105347124/105344501/105331371",16,"105317174","G2/mitotic-specific cyclin-B"
"3","crg:105317988","crg04120","Ubiquitin mediated proteolysis","105336504/105331304/105332637/105323879/105317988/105319253/105325130/105342258/105333930/105346902/105348659/105348033/105325178/105343449/105336710/105342273/105328387/105331747/105335216/105342092/105334523/105328992/105337523/105331343",24,"105317988","RING-box protein 1"
"4","crg:105318783","crg04068","FoxO signaling pathway","105335251/105343370/105329475/105346262/105318783/105328278/105334418/105341494/105331926/105320040/105326051/105339480/105317174/105347124/105344501/105331371",16,"105318783","forkhead box protein O"
"5","crg:105319253","crg04120","Ubiquitin mediated proteolysis","105336504/105331304/105332637/105323879/105317988/105319253/105325130/105342258/105333930/105346902/105348659/105348033/105325178/105343449/105336710/105342273/105328387/105331747/105335216/105342092/105334523/105328992/105337523/105331343",24,"105319253","E3 ubiquitin-protein ligase HERC2"
"6","crg:105319941","crg01200","Carbon metabolism","105336766/105348957/105341094/105336470/105322313/105332143/105332278/105332291/105322747/105322129/105325247/105328457/105330479/105346675/105319941/105323703/105347640/105328869/105320092/105337089/105343391/105330927/105331349/105341248/105331916/105340512/105328152/105317044",28,"105319941","succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial isoform X2"
"7","crg:105320040","crg04068","FoxO signaling pathway","105335251/105343370/105329475/105346262/105318783/105328278/105334418/105341494/105331926/105320040/105326051/105339480/105317174/105347124/105344501/105331371",16,"105320040","ubiquitin-like protein ATG12"
"8","crg:105320092","crg01200","Carbon metabolism","105336766/105348957/105341094/105336470/105322313/105332143/105332278/105332291/105322747/105322129/105325247/105328457/105330479/105346675/105319941/105323703/105347640/105328869/105320092/105337089/105343391/105330927/105331349/105341248/105331916/105340512/105328152/105317044",28,"105320092","6-phosphogluconolactonase"
"9","crg:105320092","crg00030","Pentose phosphate pathway","105348082/105335428/105332291/105322747/105322129/105328457/105320092/105330927",8,"105320092","6-phosphogluconolactonase"
"10","crg:105322129","crg01200","Carbon metabolism","105336766/105348957/105341094/105336470/105322313/105332143/105332278/105332291/105322747/105322129/105325247/105328457/105330479/105346675/105319941/105323703/105347640/105328869/105320092/105337089/105343391/105330927/105331349/105341248/105331916/105340512/105328152/105317044",28,"105322129","probable gluconokinase"
"11","crg:105322129","crg00030","Pentose phosphate pathway","105348082/105335428/105332291/105322747/105322129/105328457/105320092/105330927",8,"105322129","probable gluconokinase"
"12","crg:105322313","crg00010","Glycolysis / Gluconeogenesis","105348082/105336470/105322313/105332291/105326051/105322747/105346675/105323703/105347640/105326193/105330927/105331349/105340512/105328152",14,"105322313","LOW QUALITY PROTEIN: phosphoglycerate kinase 1-like"
"13","crg:105322313","crg01200","Carbon metabolism","105336766/105348957/105341094/105336470/105322313/105332143/105332278/105332291/105322747/105322129/105325247/105328457/105330479/105346675/105319941/105323703/105347640/105328869/105320092/105337089/105343391/105330927/105331349/105341248/105331916/105340512/105328152/105317044",28,"105322313","LOW QUALITY PROTEIN: phosphoglycerate kinase 1-like"
"14","crg:105322747","crg01200","Carbon metabolism","105336766/105348957/105341094/105336470/105322313/105332143/105332278/105332291/105322747/105322129/105325247/105328457/105330479/105346675/105319941/105323703/105347640/105328869/105320092/105337089/105343391/105330927/105331349/105341248/105331916/105340512/105328152/105317044",28,"105322747","fructose-1,6-bisphosphatase 1"
"15","crg:105322747","crg00030","Pentose phosphate pathway","105348082/105335428/105332291/105322747/105322129/105328457/105320092/105330927",8,"105322747","fructose-1,6-bisphosphatase 1"
"16","crg:105322747","crg00010","Glycolysis / Gluconeogenesis","105348082/105336470/105322313/105332291/105326051/105322747/105346675/105323703/105347640/105326193/105330927/105331349/105340512/105328152",14,"105322747","fructose-1,6-bisphosphatase 1"
"17","crg:105323703","crg01200","Carbon metabolism","105336766/105348957/105341094/105336470/105322313/105332143/105332278/105332291/105322747/105322129/105325247/105328457/105330479/105346675/105319941/105323703/105347640/105328869/105320092/105337089/105343391/105330927/105331349/105341248/105331916/105340512/105328152/105317044",28,"105323703","enolase 4-like isoform X1"
"18","crg:105323703","crg00010","Glycolysis / Gluconeogenesis","105348082/105336470/105322313/105332291/105326051/105322747/105346675/105323703/105347640/105326193/105330927/105331349/105340512/105328152",14,"105323703","enolase 4-like isoform X1"
"19","crg:105323879","crg04120","Ubiquitin mediated proteolysis","105336504/105331304/105332637/105323879/105317988/105319253/105325130/105342258/105333930/105346902/105348659/105348033/105325178/105343449/105336710/105342273/105328387/105331747/105335216/105342092/105334523/105328992/105337523/105331343",24,"105323879","baculoviral IAP repeat-containing protein 7"
"20","crg:105325130","crg04120","Ubiquitin mediated proteolysis","105336504/105331304/105332637/105323879/105317988/105319253/105325130/105342258/105333930/105346902/105348659/105348033/105325178/105343449/105336710/105342273/105328387/105331747/105335216/105342092/105334523/105328992/105337523/105331343",24,"105325130","cullin-1"
"21","crg:105325178","crg04120","Ubiquitin mediated proteolysis","105336504/105331304/105332637/105323879/105317988/105319253/105325130/105342258/105333930/105346902/105348659/105348033/105325178/105343449/105336710/105342273/105328387/105331747/105335216/105342092/105334523/105328992/105337523/105331343",24,"105325178","S-phase kinase-associated protein 1"
"22","crg:105325247","crg01200","Carbon metabolism","105336766/105348957/105341094/105336470/105322313/105332143/105332278/105332291/105322747/105322129/105325247/105328457/105330479/105346675/105319941/105323703/105347640/105328869/105320092/105337089/105343391/105330927/105331349/105341248/105331916/105340512/105328152/105317044",28,"105325247","phosphoserine aminotransferase"
"23","crg:105326051","crg00010","Glycolysis / Gluconeogenesis","105348082/105336470/105322313/105332291/105326051/105322747/105346675/105323703/105347640/105326193/105330927/105331349/105340512/105328152",14,"105326051","phosphoenolpyruvate carboxykinase, cytosolic [GTP] isoform X1"
"24","crg:105326051","crg04068","FoxO signaling pathway","105335251/105343370/105329475/105346262/105318783/105328278/105334418/105341494/105331926/105320040/105326051/105339480/105317174/105347124/105344501/105331371",16,"105326051","phosphoenolpyruvate carboxykinase, cytosolic [GTP] isoform X1"
"25","crg:105326193","crg00010","Glycolysis / Gluconeogenesis","105348082/105336470/105322313/105332291/105326051/105322747/105346675/105323703/105347640/105326193/105330927/105331349/105340512/105328152",14,"105326193","4-trimethylaminobutyraldehyde dehydrogenase"
"26","crg:105328152","crg01200","Carbon metabolism","105336766/105348957/105341094/105336470/105322313/105332143/105332278/105332291/105322747/105322129/105325247/105328457/105330479/105346675/105319941/105323703/105347640/105328869/105320092/105337089/105343391/105330927/105331349/105341248/105331916/105340512/105328152/105317044",28,"105328152","pyruvate kinase PKM"
"27","crg:105328152","crg00010","Glycolysis / Gluconeogenesis","105348082/105336470/105322313/105332291/105326051/105322747/105346675/105323703/105347640/105326193/105330927/105331349/105340512/105328152",14,"105328152","pyruvate kinase PKM"
"28","crg:105328278","crg04068","FoxO signaling pathway","105335251/105343370/105329475/105346262/105318783/105328278/105334418/105341494/105331926/105320040/105326051/105339480/105317174/105347124/105344501/105331371",16,"105328278","CREB-binding protein isoform X1"
"29","crg:105328387","crg04120","Ubiquitin mediated proteolysis","105336504/105331304/105332637/105323879/105317988/105319253/105325130/105342258/105333930/105346902/105348659/105348033/105325178/105343449/105336710/105342273/105328387/105331747/105335216/105342092/105334523/105328992/105337523/105331343",24,"105328387","NEDD8-activating enzyme E1 catalytic subunit isoform X1"
"30","crg:105328457","crg01200","Carbon metabolism","105336766/105348957/105341094/105336470/105322313/105332143/105332278/105332291/105322747/105322129/105325247/105328457/105330479/105346675/105319941/105323703/105347640/105328869/105320092/105337089/105343391/105330927/105331349/105341248/105331916/105340512/105328152/105317044",28,"105328457","glucose-6-phosphate 1-dehydrogenase"
"31","crg:105328457","crg00030","Pentose phosphate pathway","105348082/105335428/105332291/105322747/105322129/105328457/105320092/105330927",8,"105328457","glucose-6-phosphate 1-dehydrogenase"
"32","crg:105328869","crg01200","Carbon metabolism","105336766/105348957/105341094/105336470/105322313/105332143/105332278/105332291/105322747/105322129/105325247/105328457/105330479/105346675/105319941/105323703/105347640/105328869/105320092/105337089/105343391/105330927/105331349/105341248/105331916/105340512/105328152/105317044",28,"105328869","citrate synthase, mitochondrial isoform X1"
"33","crg:105328992","crg04120","Ubiquitin mediated proteolysis","105336504/105331304/105332637/105323879/105317988/105319253/105325130/105342258/105333930/105346902/105348659/105348033/105325178/105343449/105336710/105342273/105328387/105331747/105335216/105342092/105334523/105328992/105337523/105331343",24,"105328992","putative inhibitor of apoptosis"
"34","crg:105329475","crg04068","FoxO signaling pathway","105335251/105343370/105329475/105346262/105318783/105328278/105334418/105341494/105331926/105320040/105326051/105339480/105317174/105347124/105344501/105331371",16,"105329475","growth factor receptor-bound protein 2 isoform X1"
"35","crg:105330479","crg01200","Carbon metabolism","105336766/105348957/105341094/105336470/105322313/105332143/105332278/105332291/105322747/105322129/105325247/105328457/105330479/105346675/105319941/105323703/105347640/105328869/105320092/105337089/105343391/105330927/105331349/105341248/105331916/105340512/105328152/105317044",28,"105330479","propionyl-CoA carboxylase alpha chain, mitochondrial"
"36","crg:105330927","crg00030","Pentose phosphate pathway","105348082/105335428/105332291/105322747/105322129/105328457/105320092/105330927",8,"105330927","ATP-dependent 6-phosphofructokinase isoform X1"
"37","crg:105330927","crg00010","Glycolysis / Gluconeogenesis","105348082/105336470/105322313/105332291/105326051/105322747/105346675/105323703/105347640/105326193/105330927/105331349/105340512/105328152",14,"105330927","ATP-dependent 6-phosphofructokinase isoform X1"
"38","crg:105330927","crg01200","Carbon metabolism","105336766/105348957/105341094/105336470/105322313/105332143/105332278/105332291/105322747/105322129/105325247/105328457/105330479/105346675/105319941/105323703/105347640/105328869/105320092/105337089/105343391/105330927/105331349/105341248/105331916/105340512/105328152/105317044",28,"105330927","ATP-dependent 6-phosphofructokinase isoform X1"
"39","crg:105331304","crg04120","Ubiquitin mediated proteolysis","105336504/105331304/105332637/105323879/105317988/105319253/105325130/105342258/105333930/105346902/105348659/105348033/105325178/105343449/105336710/105342273/105328387/105331747/105335216/105342092/105334523/105328992/105337523/105331343",24,"105331304","baculoviral IAP repeat-containing protein 7"
"40","crg:105331343","crg04120","Ubiquitin mediated proteolysis","105336504/105331304/105332637/105323879/105317988/105319253/105325130/105342258/105333930/105346902/105348659/105348033/105325178/105343449/105336710/105342273/105328387/105331747/105335216/105342092/105334523/105328992/105337523/105331343",24,"105331343","influenza virus NS1A-binding protein homolog"
"41","crg:105331349","crg01200","Carbon metabolism","105336766/105348957/105341094/105336470/105322313/105332143/105332278/105332291/105322747/105322129/105325247/105328457/105330479/105346675/105319941/105323703/105347640/105328869/105320092/105337089/105343391/105330927/105331349/105341248/105331916/105340512/105328152/105317044",28,"105331349","pyruvate dehydrogenase E1 component subunit alpha, mitochondrial isoform X2"
"42","crg:105331349","crg00010","Glycolysis / Gluconeogenesis","105348082/105336470/105322313/105332291/105326051/105322747/105346675/105323703/105347640/105326193/105330927/105331349/105340512/105328152",14,"105331349","pyruvate dehydrogenase E1 component subunit alpha, mitochondrial isoform X2"
"43","crg:105331371","crg04068","FoxO signaling pathway","105335251/105343370/105329475/105346262/105318783/105328278/105334418/105341494/105331926/105320040/105326051/105339480/105317174/105347124/105344501/105331371",16,"105331371","mothers against decapentaplegic homolog 4"
