hgnc_symbol,hgnc_id,go_name,go_id,go_domain,ncon_gene,ncon_go,global_padj,gene_padj,pval,sim,sem_sim,cilow_global_padj,ciupp_global_padj,cilow_gene_padj,ciupp_gene_padj,cilow_pval,ciupp_pval
C1QL4,31416,protein binding,GO:0005515,molecular function,1,161,2.276e-01,1.565e-01,1.565e-01,5.152e-01,1.323e-02,2.096e-01,2.471e-01,1.309e-01,1.871e-01,1.309e-01,1.871e-01
RGN,9989,calcium ion binding,GO:0005509,molecular function,4,5,1.588e-01,3.782e-02,1.984e-02,8.322e-01,3.140e-02,1.483e-01,1.701e-01,2.225e-02,6.428e-02,1.126e-02,3.496e-02
RGN,9989,L-ascorbic acid biosynthetic process,GO:0019853,biological process,4,7,1.588e-01,3.782e-02,2.076e-02,8.293e-01,3.492e-02,1.483e-01,1.701e-01,2.225e-02,6.428e-02,1.170e-02,3.684e-02
RGN,9989,gluconolactonase activity,GO:0004341,molecular function,4,2,1.588e-01,3.839e-02,2.879e-02,7.819e-01,3.473e-02,1.483e-01,1.701e-01,2.238e-02,6.585e-02,1.679e-02,4.939e-02
RGN,9989,zinc ion binding,GO:0008270,molecular function,4,5,1.683e-01,5.115e-02,5.115e-02,6.957e-01,4.002e-02,1.538e-01,1.842e-01,2.699e-02,9.697e-02,2.699e-02,9.697e-02
HELZ2,30021,cytoplasm,GO:0005737,cellular component,9,20,1.641e-01,1.521e-01,3.979e-02,7.333e-01,2.491e-02,1.542e-01,1.746e-01,1.058e-01,2.188e-01,2.654e-02,5.966e-02
HELZ2,30021,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",GO:0000184,biological process,9,4,1.654e-01,1.521e-01,4.311e-02,7.220e-01,3.883e-02,1.578e-01,1.733e-01,1.058e-01,2.188e-01,2.310e-02,8.045e-02
HELZ2,30021,membrane,GO:0016020,cellular component,9,33,1.729e-01,1.583e-01,7.244e-02,6.432e-01,1.745e-02,1.558e-01,1.920e-01,1.187e-01,2.112e-01,5.542e-02,9.469e-02
HELZ2,30021,RNA helicase activity,GO:0003724,molecular function,9,5,1.931e-01,1.521e-01,8.297e-02,6.172e-01,5.566e-02,1.526e-01,2.444e-01,1.058e-01,2.188e-01,3.589e-02,1.918e-01
HELZ2,30021,positive regulation of transcription by RNA polymerase II,GO:0045944,biological process,9,37,1.972e-01,1.583e-01,1.115e-01,5.732e-01,2.200e-02,1.736e-01,2.241e-01,1.187e-01,2.112e-01,8.121e-02,1.530e-01
HELZ2,30021,RNA binding,GO:0003723,molecular function,9,39,2.058e-01,1.707e-01,1.261e-01,5.528e-01,1.631e-02,1.891e-01,2.239e-01,1.428e-01,2.040e-01,1.003e-01,1.584e-01
HELZ2,30021,protein binding,GO:0005515,molecular function,9,161,2.197e-01,1.749e-01,1.455e-01,5.283e-01,1.009e-02,2.037e-01,2.370e-01,1.559e-01,1.963e-01,1.267e-01,1.670e-01
HELZ2,30021,nuclear receptor coactivator activity,GO:0030374,molecular function,9,2,2.604e-01,2.031e-01,1.846e-01,4.785e-01,5.425e-02,1.779e-01,3.812e-01,1.198e-01,3.443e-01,9.039e-02,3.768e-01
NPC2,14537,cholesterol transport,GO:0030301,biological process,15,8,1.588e-01,3.071e-02,4.498e-03,9.428e-01,9.136e-03,1.483e-01,1.701e-01,2.006e-02,4.702e-02,2.085e-03,9.704e-03
NPC2,14537,intracellular sterol transport,GO:0032366,biological process,15,4,1.588e-01,3.071e-02,5.816e-03,9.314e-01,1.448e-02,1.483e-01,1.701e-01,2.006e-02,4.702e-02,2.527e-03,1.339e-02
NPC2,14537,intracellular cholesterol transport,GO:0032367,biological process,15,4,1.588e-01,3.071e-02,7.799e-03,9.238e-01,7.149e-03,1.483e-01,1.701e-01,2.006e-02,4.702e-02,5.323e-03,1.143e-02
NPC2,14537,cholesterol efflux,GO:0033344,biological process,15,2,1.588e-01,3.071e-02,8.006e-03,9.212e-01,9.630e-03,1.483e-01,1.701e-01,2.006e-02,4.702e-02,4.855e-03,1.320e-02
NPC2,14537,enzyme binding,GO:0019899,molecular function,15,31,1.588e-01,3.479e-02,1.230e-02,8.942e-01,1.172e-02,1.483e-01,1.701e-01,2.765e-02,4.378e-02,9.055e-03,1.671e-02
NPC2,14537,sterol binding,GO:0032934,molecular function,15,7,1.588e-01,3.698e-02,1.557e-02,8.700e-01,1.761e-02,1.483e-01,1.701e-01,2.749e-02,4.973e-02,1.129e-02,2.148e-02
NPC2,14537,sterol transport,GO:0015918,biological process,15,8,1.588e-01,3.751e-02,1.858e-02,8.488e-01,1.333e-02,1.483e-01,1.701e-01,2.769e-02,5.080e-02,1.475e-02,2.339e-02
NPC2,14537,response to virus,GO:0009615,biological process,15,6,1.588e-01,4.252e-02,2.352e-02,8.104e-01,2.974e-02,1.483e-01,1.701e-01,2.797e-02,6.466e-02,1.450e-02,3.816e-02
NPC2,14537,cholesterol binding,GO:0015485,molecular function,15,5,1.588e-01,4.382e-02,2.591e-02,7.981e-01,1.907e-02,1.483e-01,1.701e-01,3.555e-02,5.400e-02,1.930e-02,3.478e-02
NPC2,14537,lysosome,GO:0005764,cellular component,15,12,1.588e-01,4.931e-02,3.287e-02,7.608e-01,8.681e-03,1.483e-01,1.701e-01,4.293e-02,5.664e-02,2.862e-02,3.776e-02
