"","Gene","Gene_Description","AAA","AAM","AMA","AMM","ASA","ASM","MAA","MAM","MMA","MMM","MSA","MSM","foldChangeRatio","ControlRatio","baseMeanNAIVE_control","baseMeanPRIMED_control","baseMeanNAIVE_foldChangeModerate","baseMeanPRIMED_foldChangeModerate","Frontloaded"
"1","PGEN_.00g000460","Adhesion G protein-coupled receptor L1 (Calcium-independent alpha-latrotoxin receptor 1) (CIRL-1) (Latrophilin-1) (Lectomedin-2)",30.1145445602142,23.2112207119948,33.8907453952372,33.998425596297,31.9079148440645,30.9109921806618,40.2035304293738,36.2287074909153,31.2539529471201,30.2626992930125,26.5178413794519,37.1824093502453,NA,NA,30.1145445602142,31.2539529471201,0.770764461191961,0.968283894975311,NA
"2","PGEN_.00g000790","Cathepsin L1 (EC 3.4.22.15) (Cathepsin L) (Major excreted protein) (MEP) [Cleaved into: Cathepsin L1 heavy chain; Cathepsin L1 light chain]",77.5431610262935,72.7746145221723,83.8831409686984,70.6078650356095,73.3356410832928,53.373474353342,79.2304448976732,107.131999569998,93.5664862165064,71.7254183538893,55.2470794751995,112.078540513622,NA,NA,77.5431610262935,93.5664862165064,0.938504615481122,0.76657167811049,NA
"3","PGEN_.00g001130","General transcription factor IIE subunit 2 (Transcription initiation factor IIE subunit beta) (TFIIE-beta)",17.8966937801573,12.2423337882385,18.2803180447601,14.5626277034032,11.8497191414755,14.4445662387911,16.4426226041263,14.7902707112232,13.9389844537329,16.9546202516195,14.9929763155801,15.0973654585743,NA,NA,17.8966937801573,13.9389844537329,0.684055610417385,1.21634544524361,NA
"4","PGEN_.00g001320",NA,7.46654198434125,16.7308214120103,11.0711145825413,17.3704175791978,10.6179539086096,13.477256414901,14.2797083654671,16.6654131129131,11.0278539497527,17.1996217409526,20.4857290654597,17.0670006029742,0.696033492685845,1.47696938862465,7.46654198434125,11.0278539497527,2.24077242813313,1.55965265946764,"frontloaded"
"5","PGEN_.00g001410","L-type lectin-domain containing receptor kinase V.5 (Arabidopsis thaliana lectin-receptor kinase a1) (Ath.lecRK1) (AthlecRK-a1) (LecRK-V.5) (EC 2.7.11.1)",35.2936156587997,18.0344148757532,17.2055984581768,24.744161436736,17.1059432456493,28.410232459835,21.7114291438831,26.5481035424411,30.3004514402946,32.4781212748135,19.0510191228597,27.8593978313943,NA,NA,35.2936156587997,30.3004514402946,0.510982355848734,1.07186922078735,NA
"6","PGEN_.00g001500","E3 ubiquitin-protein ligase DZIP3 (EC 2.3.2.27) (DAZ-interacting protein 3) (RING-type E3 ubiquitin transferase DZIP3) (RNA-binding ubiquitin ligase of 138 kDa) (hRUL138)",11.5923776442343,10.4669085805422,10.895233081993,9.47739556039104,15.3346473947788,11.3024109675751,10.1828374284651,15.1416742770145,7.34802864001912,10.1899714025186,11.5248650638718,13.4907915198055,NA,NA,11.5923776442343,7.34802864001912,0.902913009027802,1.38676261371949,NA
"7","PGEN_.00g001690","TBC1 domain family member 2B",49.8248925476772,52.7493517503781,44.0646055304409,55.549128192425,37.3506974371713,61.5806876054715,52.4047284455062,61.0533720635767,53.512634688847,53.868049319165,49.0369717540198,69.1530562270241,0.950832809369746,1.07401405106175,49.8248925476772,53.512634688847,1.058694741788,1.00664169559926,"frontloaded"
"8","PGEN_.00g001920","F-BAR domain only protein 2",96.6883085484795,72.0704892538484,89.1550462675687,88.158043153507,73.4244024568984,92.2003283549511,96.4960421642494,89.5103642911607,95.9905039996803,89.5499416277623,77.5585485413821,112.628529516881,NA,NA,96.6883085484795,95.9905039996803,0.74538990634749,0.932904171729951,NA
"9","PGEN_.00g001960","Ubiquitin carboxyl-terminal hydrolase 24 (EC 3.4.19.12) (Deubiquitinating enzyme 24) (Ubiquitin thioesterase 24) (Ubiquitin-specific-processing protease 24)",26.8280631875787,30.4734066566354,27.8909313608018,28.7534771714313,25.851403665923,29.6467881220693,30.9841306436256,34.1285953653375,28.8252518900476,30.5678216703898,21.5853542839456,28.6211142447828,0.93359752848252,1.07444401366229,26.8280631875787,28.8252518900476,1.13587799624478,1.06045288995181,"frontloaded"
"10","PGEN_.00g003130","Zinc finger protein PLAG1 (Pleiomorphic adenoma gene 1 protein)",16.5205867803041,19.2693286492684,17.5829913215043,16.437283135143,14.9638673676929,14.0050638110846,14.4930980655998,21.4795910613468,18.2629654505863,17.7905925823351,17.871156011717,21.0171887545723,0.835175991346057,1.10546711769097,16.5205867803041,18.2629654505863,1.16638282317195,0.97413493063165,"frontloaded"
