"","GO_terms","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","dir","Day","slim_term","Gene_IDs"
"1","GO:0000272",0.00394766302966492,0.999724960673274,3,24,"polysaccharide catabolic process","BP","Up","Day14","catabolic process","PGEN_.00g057120;PGEN_.00g057130;PGEN_.00g169480;PGEN_.00g211330;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g280310;PGEN_.00g281550;PGEN_.00g285590;PGEN_.00g298200;PGEN_.00g323450;PGEN_.00g326620;PGEN_.00g345680"
"2","GO:0000272",0.00394766302966492,0.999724960673274,3,24,"polysaccharide catabolic process","BP","Up","Day14","carbohydrate metabolic process","PGEN_.00g057120;PGEN_.00g057130;PGEN_.00g169480;PGEN_.00g211250;PGEN_.00g323450;PGEN_.00g326620;PGEN_.00g328190"
"3","GO:0000463",0.0129489430647606,0.999361729006287,2,13,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP","Up","Day14","cellular nitrogen compound metaboli...","PGEN_.00g059780;PGEN_.00g177840;PGEN_.00g211330;PGEN_.00g280310;PGEN_.00g281550"
"4","GO:0000463",0.0129489430647606,0.999361729006287,2,13,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP","Up","Day14","ribosome biogenesis","PGEN_.00g059780;PGEN_.00g177840"
"5","GO:0001561",0.00198999829839126,0.999971451409442,2,5,"fatty acid alpha-oxidation","BP","Up","Day14","lipid metabolic process","PGEN_.00g267990;PGEN_.00g268270"
"6","GO:0001561",0.00198999829839126,0.999971451409442,2,5,"fatty acid alpha-oxidation","BP","Up","Day14","small molecule metabolic process","PGEN_.00g211250;PGEN_.00g211330;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g280310;PGEN_.00g281550;PGEN_.00g328190"
"7","GO:0001561",0.00198999829839126,0.999971451409442,2,5,"fatty acid alpha-oxidation","BP","Up","Day14","catabolic process","PGEN_.00g057120;PGEN_.00g057130;PGEN_.00g169480;PGEN_.00g211330;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g280310;PGEN_.00g281550;PGEN_.00g285590;PGEN_.00g298200;PGEN_.00g323450;PGEN_.00g326620;PGEN_.00g345680"
"8","GO:0001942",0.0286943840341705,0.995671643295998,3,47,"hair follicle development","BP","Up","Day14","anatomical structure development","PGEN_.00g005530;PGEN_.00g026190;PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g092320;PGEN_.00g095390;PGEN_.00g116150;PGEN_.00g119470;PGEN_.00g122020;PGEN_.00g127990;PGEN_.00g199810;PGEN_.00g261960;PGEN_.00g279590;PGEN_.00g318440;PGEN_.00g327700;PGEN_.00g346230"
"9","GO:0002062",0.0490098978275577,0.994754322925718,2,26,"chondrocyte differentiation","BP","Up","Day14","anatomical structure development","PGEN_.00g005530;PGEN_.00g026190;PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g092320;PGEN_.00g095390;PGEN_.00g116150;PGEN_.00g119470;PGEN_.00g122020;PGEN_.00g127990;PGEN_.00g199810;PGEN_.00g261960;PGEN_.00g279590;PGEN_.00g318440;PGEN_.00g327700;PGEN_.00g346230"
"10","GO:0002062",0.0490098978275577,0.994754322925718,2,26,"chondrocyte differentiation","BP","Up","Day14","cell differentiation","PGEN_.00g026190;PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g052550;PGEN_.00g052650;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g092320;PGEN_.00g095390;PGEN_.00g116150;PGEN_.00g119470;PGEN_.00g122020;PGEN_.00g127990;PGEN_.00g152150;PGEN_.00g156260;PGEN_.00g199810;PGEN_.00g261960;PGEN_.00g327700"
"11","GO:0002542",0.000572387453425126,0.999997340159805,2,3,"Factor XII activation","BP","Up","Day14","response to stress","PGEN_.00g033640;PGEN_.00g038400;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g279590;PGEN_.00g313060;PGEN_.00g346230"
"12","GO:0002542",0.000572387453425126,0.999997340159805,2,3,"Factor XII activation","BP","Up","Day14","protein maturation","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g344990"
"13","GO:0002576",0.0280678793435388,0.995801805519084,3,47,"platelet degranulation","BP","Up","Day14","transport","PGEN_.00g013170;PGEN_.00g014740;PGEN_.00g019450;PGEN_.00g050040;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g164540;PGEN_.00g164660;PGEN_.00g211250;PGEN_.00g251840;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g328190;PGEN_.00g348220;PGEN_.00g348570"
"14","GO:0002576",0.0280678793435388,0.995801805519084,3,47,"platelet degranulation","BP","Up","Day14","vesicle-mediated transport","PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350"
"15","GO:0003429",3.14977407531526e-05,0.999998404576869,5,28,"growth plate cartilage chondrocyte morphogenesis","BP","Up","Day14","cell differentiation","PGEN_.00g026190;PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g052550;PGEN_.00g052650;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g092320;PGEN_.00g095390;PGEN_.00g116150;PGEN_.00g119470;PGEN_.00g122020;PGEN_.00g127990;PGEN_.00g152150;PGEN_.00g156260;PGEN_.00g199810;PGEN_.00g261960;PGEN_.00g327700"
"16","GO:0003429",3.14977407531526e-05,0.999998404576869,5,28,"growth plate cartilage chondrocyte morphogenesis","BP","Up","Day14","cell morphogenesis","PGEN_.00g116150;PGEN_.00g119470;PGEN_.00g122020;PGEN_.00g127990;PGEN_.00g261960"
"17","GO:0003429",3.14977407531526e-05,0.999998404576869,5,28,"growth plate cartilage chondrocyte morphogenesis","BP","Up","Day14","anatomical structure development","PGEN_.00g005530;PGEN_.00g026190;PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g092320;PGEN_.00g095390;PGEN_.00g116150;PGEN_.00g119470;PGEN_.00g122020;PGEN_.00g127990;PGEN_.00g199810;PGEN_.00g261960;PGEN_.00g279590;PGEN_.00g318440;PGEN_.00g327700;PGEN_.00g346230"
"18","GO:0003429",3.14977407531526e-05,0.999998404576869,5,28,"growth plate cartilage chondrocyte morphogenesis","BP","Up","Day14","growth","PGEN_.00g116150;PGEN_.00g119470;PGEN_.00g122020;PGEN_.00g127990;PGEN_.00g261960;PGEN_.00g279590;PGEN_.00g346230"
"19","GO:0006032",0.00489846649317551,0.999629956373646,3,25,"chitin catabolic process","BP","Up","Day14","catabolic process","PGEN_.00g057120;PGEN_.00g057130;PGEN_.00g169480;PGEN_.00g211330;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g280310;PGEN_.00g281550;PGEN_.00g285590;PGEN_.00g298200;PGEN_.00g323450;PGEN_.00g326620;PGEN_.00g345680"
"20","GO:0006589",0.00229904261251282,0.999870264452132,3,20,"octopamine biosynthetic process","BP","Up","Day14","biosynthetic process","PGEN_.00g211250;PGEN_.00g211330;PGEN_.00g280310;PGEN_.00g281550;PGEN_.00g328190"
"21","GO:0006589",0.00229904261251282,0.999870264452132,3,20,"octopamine biosynthetic process","BP","Up","Day14","small molecule metabolic process","PGEN_.00g211250;PGEN_.00g211330;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g280310;PGEN_.00g281550;PGEN_.00g328190"
