"","GO_terms","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","dir","Day","slim_term","Gene_IDs"
"1","GO:0003755",0.0452982634113146,0.99536730710929,2,25,"peptidyl-prolyl cis-trans isomerase activity","MF","Up","Day14","isomerase activity","PGEN_.00g183520;PGEN_.00g282910"
"2","GO:0004222",0.0308931484993564,0.991773842653514,5,131,"metalloendopeptidase activity","MF","Up","Day14","peptidase activity","PGEN_.00g009930;PGEN_.00g033640;PGEN_.00g038400;PGEN_.00g047200;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g164540;PGEN_.00g164550;PGEN_.00g164650;PGEN_.00g164660;PGEN_.00g199810;PGEN_.00g285590;PGEN_.00g344990;PGEN_.00g348220;PGEN_.00g348570"
"3","GO:0004252",2.26830398109192e-06,0.999999732013944,10,108,"serine-type endopeptidase activity","MF","Up","Day14","peptidase activity","PGEN_.00g009930;PGEN_.00g033640;PGEN_.00g038400;PGEN_.00g047200;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g164540;PGEN_.00g164550;PGEN_.00g164650;PGEN_.00g164660;PGEN_.00g199810;PGEN_.00g285590;PGEN_.00g344990;PGEN_.00g348220;PGEN_.00g348570"
"4","GO:0004500",0.00223949973104442,0.999875556931038,3,19,"dopamine beta-monooxygenase activity","MF","Up","Day14","oxidoreductase activity","PGEN_.00g040690;PGEN_.00g049360;PGEN_.00g116940;PGEN_.00g211330;PGEN_.00g258130;PGEN_.00g280310;PGEN_.00g281550"
"5","GO:0004553",0.0278320806705145,0.997847225750005,2,20,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF","Up","Day14","hydrolase activity, acting on glyco...","PGEN_.00g057120;PGEN_.00g057130;PGEN_.00g169480;PGEN_.00g323450;PGEN_.00g326620"
"6","GO:0004568",0.00191402699715381,0.99990006345603,3,18,"chitinase activity","MF","Up","Day14","hydrolase activity, acting on glyco...","PGEN_.00g057120;PGEN_.00g057130;PGEN_.00g169480;PGEN_.00g323450;PGEN_.00g326620"
"7","GO:0004602",0.00921373450742517,0.999619826366862,2,13,"glutathione peroxidase activity","MF","Up","Day14","oxidoreductase activity","PGEN_.00g040690;PGEN_.00g049360;PGEN_.00g116940;PGEN_.00g211330;PGEN_.00g258130;PGEN_.00g280310;PGEN_.00g281550"
"8","GO:0004867",5.99650192585792e-06,0.999999432490763,8,72,"serine-type endopeptidase inhibitor activity","MF","Up","Day14","enzyme regulator activity","PGEN_.00g057310;PGEN_.00g057320;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g093840;PGEN_.00g246390;PGEN_.00g246530"
"9","GO:0005507",0.000109832024201435,0.999986602167663,7,88,"copper ion binding","MF","Up","Day14","ion binding","PGEN_.00g003940;PGEN_.00g021830;PGEN_.00g038510;PGEN_.00g050040;PGEN_.00g108800;PGEN_.00g132220;PGEN_.00g156260;PGEN_.00g164540;PGEN_.00g164550;PGEN_.00g164650;PGEN_.00g164660;PGEN_.00g174890;PGEN_.00g205760;PGEN_.00g211330;PGEN_.00g251840;PGEN_.00g263590;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g276360;PGEN_.00g280310;PGEN_.00g281550;PGEN_.00g308130;PGEN_.00g312080;PGEN_.00g331660"
"10","GO:0008270",0.036240846636215,0.981423965910757,15,731,"zinc ion binding","MF","Up","Day14","ion binding","PGEN_.00g003940;PGEN_.00g021830;PGEN_.00g038510;PGEN_.00g050040;PGEN_.00g108800;PGEN_.00g132220;PGEN_.00g156260;PGEN_.00g164540;PGEN_.00g164550;PGEN_.00g164650;PGEN_.00g164660;PGEN_.00g174890;PGEN_.00g205760;PGEN_.00g211330;PGEN_.00g251840;PGEN_.00g263590;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g276360;PGEN_.00g280310;PGEN_.00g281550;PGEN_.00g308130;PGEN_.00g312080;PGEN_.00g331660"
