"","GO_terms","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","dir","effect","slim_term","Gene_IDs"
"1","GO:0001933",0.0336675696867039,0.996985434632191,2,73,"negative regulation of protein phosphorylation","BP","Down","secondAvM","cellular protein modification proce...","PGEN_.00g086610;PGEN_.00g086660"
"2","GO:0001942",0.0162300012208662,0.99902510735622,2,47,"hair follicle development","BP","Down","secondAvM","anatomical structure development","PGEN_.00g021440;PGEN_.00g085780;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g095380;PGEN_.00g119470;PGEN_.00g127990;PGEN_.00g279590;PGEN_.00g346230"
"3","GO:0002062",0.00444513065344946,0.999867239921515,2,26,"chondrocyte differentiation","BP","Down","secondAvM","cell differentiation","PGEN_.00g021440;PGEN_.00g085780;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g095380;PGEN_.00g119470;PGEN_.00g127990"
"4","GO:0002062",0.00444513065344946,0.999867239921515,2,26,"chondrocyte differentiation","BP","Down","secondAvM","anatomical structure development","PGEN_.00g021440;PGEN_.00g085780;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g095380;PGEN_.00g119470;PGEN_.00g127990;PGEN_.00g279590;PGEN_.00g346230"
"5","GO:0002576",0.0160334544867965,0.999043064118415,2,47,"platelet degranulation","BP","Down","secondAvM","transport","PGEN_.00g009930;PGEN_.00g022820;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g169480;PGEN_.00g348850"
"6","GO:0002576",0.0160334544867965,0.999043064118415,2,47,"platelet degranulation","BP","Down","secondAvM","vesicle-mediated transport","PGEN_.00g009930;PGEN_.00g022820;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g169480;PGEN_.00g348850"
"7","GO:0003429",0.00491982122945583,0.999844519406933,2,28,"growth plate cartilage chondrocyte morphogenesis","BP","Down","secondAvM","cell morphogenesis","PGEN_.00g119470;PGEN_.00g127990"
"8","GO:0003429",0.00491982122945583,0.999844519406933,2,28,"growth plate cartilage chondrocyte morphogenesis","BP","Down","secondAvM","anatomical structure development","PGEN_.00g021440;PGEN_.00g085780;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g095380;PGEN_.00g119470;PGEN_.00g127990;PGEN_.00g279590;PGEN_.00g346230"
"9","GO:0003429",0.00491982122945583,0.999844519406933,2,28,"growth plate cartilage chondrocyte morphogenesis","BP","Down","secondAvM","growth","PGEN_.00g119470;PGEN_.00g127990;PGEN_.00g279590;PGEN_.00g346230"
"10","GO:0003429",0.00491982122945583,0.999844519406933,2,28,"growth plate cartilage chondrocyte morphogenesis","BP","Down","secondAvM","cell differentiation","PGEN_.00g021440;PGEN_.00g085780;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g095380;PGEN_.00g119470;PGEN_.00g127990"
"11","GO:0006589",0.00268485790276272,0.999939209109678,2,20,"octopamine biosynthetic process","BP","Down","secondAvM","cellular nitrogen compound metaboli...","PGEN_.00g211330;PGEN_.00g263770"
"12","GO:0006589",0.00268485790276272,0.999939209109678,2,20,"octopamine biosynthetic process","BP","Down","secondAvM","small molecule metabolic process","PGEN_.00g211330;PGEN_.00g263770"
"13","GO:0006589",0.00268485790276272,0.999939209109678,2,20,"octopamine biosynthetic process","BP","Down","secondAvM","biosynthetic process","PGEN_.00g211330;PGEN_.00g263770"
"14","GO:0006887",0.0329898094177552,0.997076008775006,2,76,"exocytosis","BP","Down","secondAvM","transport","PGEN_.00g009930;PGEN_.00g022820;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g169480;PGEN_.00g348850"
"15","GO:0006887",0.0329898094177552,0.997076008775006,2,76,"exocytosis","BP","Down","secondAvM","vesicle-mediated transport","PGEN_.00g009930;PGEN_.00g022820;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g169480;PGEN_.00g348850"
"16","GO:0006955",0.030877777689642,0.997355137696263,2,82,"immune response","BP","Down","secondAvM","immune system process","PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g169480;PGEN_.00g274880;PGEN_.00g274890;PGEN_.00g344510;PGEN_.00g348850"
"17","GO:0007160",0.0219537931373145,0.998444565452244,2,57,"cell-matrix adhesion","BP","Down","secondAvM","cell adhesion","PGEN_.00g046020;PGEN_.00g085780;PGEN_.00g095380;PGEN_.00g116130"
"18","GO:0007162",0.00447514034978862,0.999865574228469,2,27,"negative regulation of cell adhesion","BP","Down","secondAvM","cell adhesion","PGEN_.00g046020;PGEN_.00g085780;PGEN_.00g095380;PGEN_.00g116130"
"19","GO:0010642",0.000551229148037815,0.999994800341426,2,11,"negative regulation of platelet-derived growth factor receptor signaling pathway","BP","Down","secondAvM","signal transduction","PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g279590;PGEN_.00g348850"
"20","GO:0010839",0.0182953884865741,0.998827937261912,2,49,"negative regulation of keratinocyte proliferation","BP","Down","secondAvM","cell population proliferation","PGEN_.00g086610;PGEN_.00g086660"
"21","GO:0030512",0.0225894585881642,0.998369926625481,2,65,"negative regulation of transforming growth factor beta receptor signaling pathway","BP","Down","secondAvM","signal transduction","PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g279590;PGEN_.00g348850"
"22","GO:0031639",0.000549632778196727,0.999995021575608,2,9,"plasminogen activation","BP","Down","secondAvM","protein maturation","PGEN_.00g033640;PGEN_.00g057170"
