"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0007155",8.87118076868729e-06,0.999998778630373,10,458,"cell adhesion","BP"
"GO:0045616",0.000296441654720692,0.999991575613283,3,31,"regulation of keratinocyte differentiation","BP"
"GO:0031639",0.000549632778196727,0.999995021575608,2,9,"plasminogen activation","BP"
"GO:0010642",0.000551229148037815,0.999994800341426,2,11,"negative regulation of platelet-derived growth factor receptor signaling pathway","BP"
"GO:0051603",0.0006249075076588,0.999976627320495,3,42,"proteolysis involved in cellular protein catabolic process","BP"
"GO:0051919",0.000687744832834632,0.999992869781378,2,10,"positive regulation of fibrinolysis","BP"
"GO:0043152",0.00267305069475247,0.999939612445343,2,20,"induction of bacterial agglutination","BP"
"GO:0006589",0.00268485790276272,0.999939209109678,2,20,"octopamine biosynthetic process","BP"
"GO:0042246",0.00303554273250275,0.999925252880698,2,27,"tissue regeneration","BP"
"GO:0042421",0.00323492577818258,0.999919118115592,2,21,"norepinephrine biosynthetic process","BP"
"GO:0042420",0.00406716929963371,0.999883675432683,2,27,"dopamine catabolic process","BP"
"GO:0042730",0.00408066432125348,0.999883961040441,2,24,"fibrinolysis","BP"
"GO:0002062",0.00444513065344946,0.999867239921515,2,26,"chondrocyte differentiation","BP"
"GO:0007162",0.00447514034978862,0.999865574228469,2,27,"negative regulation of cell adhesion","BP"
"GO:0003429",0.00491982122945583,0.999844519406933,2,28,"growth plate cartilage chondrocyte morphogenesis","BP"
"GO:0072675",0.00596576318147863,0.999792237370446,2,27,"osteoclast fusion","BP"
"GO:0030198",0.00686801660146286,0.999385511317527,3,104,"extracellular matrix organization","BP"
"GO:0061045",0.00747653991522563,0.999705707270981,2,30,"negative regulation of wound healing","BP"
"GO:0048678",0.0083945765013953,0.999644566057522,2,40,"response to axon injury","BP"
"GO:0044267",0.0143034203022311,0.999197133330931,2,45,"cellular protein metabolic process","BP"
"GO:0002576",0.0160334544867965,0.999043064118415,2,47,"platelet degranulation","BP"
"GO:0001942",0.0162300012208662,0.99902510735622,2,47,"hair follicle development","BP"
"GO:0050829",0.0176321408468903,0.998889080696325,2,54,"defense response to Gram-negative bacterium","BP"
"GO:0009617",0.0176566612769717,0.997755431446353,3,142,"response to bacterium","BP"
"GO:0050896",0.0177466108358406,0.998879239203474,2,52,"response to stimulus","BP"
"GO:0010839",0.0182953884865741,0.998827937261912,2,49,"negative regulation of keratinocyte proliferation","BP"
"GO:0007160",0.0219537931373145,0.998444565452244,2,57,"cell-matrix adhesion","BP"
"GO:0030512",0.0225894585881642,0.998369926625481,2,65,"negative regulation of transforming growth factor beta receptor signaling pathway","BP"
"GO:0006508",0.0282550740547816,0.995700308541079,3,173,"proteolysis","BP"
"GO:0006955",0.030877777689642,0.997355137696263,2,82,"immune response","BP"
"GO:0006887",0.0329898094177552,0.997076008775006,2,76,"exocytosis","BP"
"GO:0001933",0.0336675696867039,0.996985434632191,2,73,"negative regulation of protein phosphorylation","BP"
"GO:0043312",0.0359169550073166,0.996665668655636,2,78,"neutrophil degranulation","BP"
"GO:0005576",6.8721559587803e-14,1,25,1105,"extracellular region","CC"
"GO:0005615",6.1259122294581e-11,1,19,796,"extracellular space","CC"
"GO:0031012",1.76088449998687e-08,0.999999998803547,10,244,"extracellular matrix","CC"
"GO:0062023",3.86969881996828e-08,0.999999997126543,10,260,"collagen-containing extracellular matrix","CC"
"GO:0005581",3.5029832695492e-06,0.999999817912489,6,142,"collagen trimer","CC"
"GO:0034774",0.00404322090350908,0.999885567950974,2,24,"secretory granule lumen","CC"
"GO:0009501",0.00422642658901721,1,1,1,"amyloplast","CC"
"GO:0031092",0.00500597286856192,0.999841471617294,2,25,"platelet alpha granule membrane","CC"
"GO:0002079",0.00544204630328303,1,1,1,"inner acrosomal membrane","CC"
"GO:0030133",0.00825092016586171,0.999655242498248,2,36,"transport vesicle","CC"
"GO:0009986",0.00965987435246075,0.997729871793303,6,484,"cell surface","CC"
"GO:0005802",0.0129597287211059,0.99853277267178,3,131,"trans-Golgi network","CC"
"GO:0000220",0.0132533282637412,0.999941740300159,1,3,"vacuolar proton-transporting V-type ATPase, V0 domain","CC"
"GO:0016471",0.0136121566853308,0.999930876076151,1,4,"vacuolar proton-transporting V-type ATPase complex","CC"
"GO:0002081",0.0176818202673237,0.999883162768388,1,4,"outer acrosomal membrane","CC"
"GO:0005764",0.0178221866654342,0.996732694079537,4,274,"lysosome","CC"
"GO:0070062",0.0179646159841027,0.995166513326932,6,545,"extracellular exosome","CC"
"GO:0030667",0.0180173591692667,0.998853665370946,2,51,"secretory granule membrane","CC"
"GO:0005595",0.0194352135788896,0.999843126580537,1,6,"collagen type XII trimer","CC"
"GO:0034466",0.0200235878177879,0.999840071390057,1,5,"chromaffin granule lumen","CC"
"GO:0005604",0.0201855441201557,0.997301026048587,3,146,"basement membrane","CC"
"GO:0022626",0.0304346344385772,0.999578822967764,1,11,"cytosolic ribosome","CC"
"GO:0097708",0.0339296595039795,0.999487374725396,1,9,"intracellular vesicle","CC"
"GO:0001772",0.0366113996718943,0.999395139632224,1,10,"immunological synapse","CC"
"GO:0030426",0.0427756557165407,0.995630434106246,2,82,"growth cone","CC"
"GO:0042584",0.0448002407130676,0.999082421282379,1,11,"chromaffin granule membrane","CC"
"GO:1904724",0.0499428884422632,0.99883334879775,1,14,"tertiary granule lumen","CC"
